composer,title,split,version,folder,xml_score,midi_score,midi_performance,audio_performance,midi_path,audio_path,duration_sec,robust_note_alignment,henle
Bach,Fugue_bwv_848,train,"['v1', 'v2', 'v3']",Bach/Fugue/bwv_848,Bach/Fugue/bwv_848/xml_score.musicxml,Bach/Fugue/bwv_848/midi_score.mid,Bach/Fugue/bwv_848/Denisova06M.mid,Bach/Fugue/bwv_848/Denisova06M.wav,2008/MIDI-Unprocessed_02_R1_2008_01-05_ORIG_MID--AUDIO_02_R1_2008_wav--1.midi,2008/MIDI-Unprocessed_02_R1_2008_01-05_ORIG_MID--AUDIO_02_R1_2008_wav--1.wav,180.019852,1.0,6
Bach,Fugue_bwv_848,train,"['v1', 'v2', 'v3']",Bach/Fugue/bwv_848,Bach/Fugue/bwv_848/xml_score.musicxml,Bach/Fugue/bwv_848/midi_score.mid,Bach/Fugue/bwv_848/Lin04M.mid,Bach/Fugue/bwv_848/Lin04M.wav,2008/MIDI-Unprocessed_10_R1_2008_01-04_ORIG_MID--AUDIO_10_R1_2008_wav--1.midi,2008/MIDI-Unprocessed_10_R1_2008_01-04_ORIG_MID--AUDIO_10_R1_2008_wav--1.wav,195.6889069,1.0,6
Bach,Fugue_bwv_848,train,"['v1', 'v2', 'v3']",Bach/Fugue/bwv_848,Bach/Fugue/bwv_848/xml_score.musicxml,Bach/Fugue/bwv_848/midi_score.mid,Bach/Fugue/bwv_848/Lou01M.mid,Bach/Fugue/bwv_848/Lou01M.wav,2011/MIDI-Unprocessed_24_R1_2011_MID--AUDIO_R1-D9_08_Track08_wav.midi,2011/MIDI-Unprocessed_24_R1_2011_MID--AUDIO_R1-D9_08_Track08_wav.wav,202.5492098,1.0,6
Bach,Fugue_bwv_848,train,"['v1', 'v2', 'v3']",Bach/Fugue/bwv_848,Bach/Fugue/bwv_848/xml_score.musicxml,Bach/Fugue/bwv_848/midi_score.mid,Bach/Fugue/bwv_848/MiyashitaM01M.mid,Bach/Fugue/bwv_848/MiyashitaM01M.wav,2015/MIDI-Unprocessed_R1_D1-9-12_mid--AUDIO-from_mp3_09_R1_2015_wav--1.midi,2015/MIDI-Unprocessed_R1_D1-9-12_mid--AUDIO-from_mp3_09_R1_2015_wav--1.wav,217.7302083,1.0,6
Bach,Fugue_bwv_848,train,"['v1', 'v2', 'v3']",Bach/Fugue/bwv_848,Bach/Fugue/bwv_848/xml_score.musicxml,Bach/Fugue/bwv_848/midi_score.mid,Bach/Fugue/bwv_848/Mizumoto03M.mid,Bach/Fugue/bwv_848/Mizumoto03M.wav,2011/MIDI-Unprocessed_12_R1_2011_MID--AUDIO_R1-D4_15_Track15_wav.midi,2011/MIDI-Unprocessed_12_R1_2011_MID--AUDIO_R1-D4_15_Track15_wav.wav,202.9591988,1.0,6
Bach,Fugue_bwv_848,train,"['v1', 'v2', 'v3']",Bach/Fugue/bwv_848,Bach/Fugue/bwv_848/xml_score.musicxml,Bach/Fugue/bwv_848/midi_score.mid,Bach/Fugue/bwv_848/SunY01M.mid,Bach/Fugue/bwv_848/SunY01M.wav,2017/MIDI-Unprocessed_059_PIANO059_MID--AUDIO-split_07-07-17_Piano-e_2-03_wav--1.midi,2017/MIDI-Unprocessed_059_PIANO059_MID--AUDIO-split_07-07-17_Piano-e_2-03_wav--1.wav,194.0471261,1.0,6
Bach,Fugue_bwv_848,train,"['v1', 'v2', 'v3']",Bach/Fugue/bwv_848,Bach/Fugue/bwv_848/xml_score.musicxml,Bach/Fugue/bwv_848/midi_score.mid,Bach/Fugue/bwv_848/Zhou01M.mid,Bach/Fugue/bwv_848/Zhou01M.wav,2011/MIDI-Unprocessed_04_R1_2011_MID--AUDIO_R1-D2_02_Track02_wav.midi,2011/MIDI-Unprocessed_04_R1_2011_MID--AUDIO_R1-D2_02_Track02_wav.wav,208.3785309,1.0,6
Beethoven,Piano_Sonatas_21-1,train,"['v1', 'v2', 'v3']",Beethoven/Piano_Sonatas/21-1_no_repeat,Beethoven/Piano_Sonatas/21-1_no_repeat/xml_score.musicxml,Beethoven/Piano_Sonatas/21-1_no_repeat/midi_score.mid,Beethoven/Piano_Sonatas/21-1_no_repeat/GonzalezJ06M.mid,Beethoven/Piano_Sonatas/21-1_no_repeat/GonzalezJ06M.wav,2014/MIDI-UNPROCESSED_01-03_R1_2014_MID--AUDIO_03_R1_2014_wav--3.midi,2014/MIDI-UNPROCESSED_01-03_R1_2014_MID--AUDIO_03_R1_2014_wav--3.wav,470.2893267,1.0,9
Beethoven,Piano_Sonatas_21-1,train,"['v1', 'v2', 'v3']",Beethoven/Piano_Sonatas/21-1_no_repeat,Beethoven/Piano_Sonatas/21-1_no_repeat/xml_score.musicxml,Beethoven/Piano_Sonatas/21-1_no_repeat/midi_score.mid,Beethoven/Piano_Sonatas/21-1_no_repeat/KimSY02M.mid,Beethoven/Piano_Sonatas/21-1_no_repeat/KimSY02M.wav,2018/MIDI-Unprocessed_Recital17-19_MID--AUDIO_18_R1_2018_wav--1.midi,2018/MIDI-Unprocessed_Recital17-19_MID--AUDIO_18_R1_2018_wav--1.wav,1306.740146,1.0,9
Beethoven,Piano_Sonatas_21-1,train,"['v1', 'v2', 'v3']",Beethoven/Piano_Sonatas/21-1_no_repeat,Beethoven/Piano_Sonatas/21-1_no_repeat/xml_score.musicxml,Beethoven/Piano_Sonatas/21-1_no_repeat/midi_score.mid,Beethoven/Piano_Sonatas/21-1_no_repeat/LeeN02M.mid,Beethoven/Piano_Sonatas/21-1_no_repeat/LeeN02M.wav,2015/MIDI-Unprocessed_R1_D1-1-8_mid--AUDIO-from_mp3_07_R1_2015_wav--2.midi,2015/MIDI-Unprocessed_R1_D1-1-8_mid--AUDIO-from_mp3_07_R1_2015_wav--2.wav,484.2260417,1.0,9
Beethoven,Piano_Sonatas_21-1,train,"['v1', 'v2', 'v3']",Beethoven/Piano_Sonatas/21-1_no_repeat,Beethoven/Piano_Sonatas/21-1_no_repeat/xml_score.musicxml,Beethoven/Piano_Sonatas/21-1_no_repeat/midi_score.mid,Beethoven/Piano_Sonatas/21-1_no_repeat/RichardsonC02M.mid,Beethoven/Piano_Sonatas/21-1_no_repeat/RichardsonC02M.wav,2015/MIDI-Unprocessed_R1_D1-1-8_mid--AUDIO-from_mp3_08_R1_2015_wav--2.midi,2015/MIDI-Unprocessed_R1_D1-1-8_mid--AUDIO-from_mp3_08_R1_2015_wav--2.wav,504.6104167,1.0,9
Beethoven,Piano_Sonatas_21-1,train,"['v1', 'v2', 'v3']",Beethoven/Piano_Sonatas/21-1_no_repeat,Beethoven/Piano_Sonatas/21-1_no_repeat/xml_score.musicxml,Beethoven/Piano_Sonatas/21-1_no_repeat/midi_score.mid,Beethoven/Piano_Sonatas/21-1_no_repeat/Shychko02M.mid,Beethoven/Piano_Sonatas/21-1_no_repeat/Shychko02M.wav,2011/MIDI-Unprocessed_11_R1_2011_MID--AUDIO_R1-D4_08_Track08_wav.midi,2011/MIDI-Unprocessed_11_R1_2011_MID--AUDIO_R1-D4_08_Track08_wav.wav,519.5601108,1.0,9
Beethoven,Piano_Sonatas_21-1,train,"['v1', 'v2', 'v3']",Beethoven/Piano_Sonatas/21-1_no_repeat,Beethoven/Piano_Sonatas/21-1_no_repeat/xml_score.musicxml,Beethoven/Piano_Sonatas/21-1_no_repeat/midi_score.mid,Beethoven/Piano_Sonatas/21-1_no_repeat/Sladek02M.mid,Beethoven/Piano_Sonatas/21-1_no_repeat/Sladek02M.wav,2011/MIDI-Unprocessed_18_R1_2011_MID--AUDIO_R1-D7_08_Track08_wav.midi,2011/MIDI-Unprocessed_18_R1_2011_MID--AUDIO_R1-D7_08_Track08_wav.wav,489.6789975,1.0,9
Beethoven,Piano_Sonatas_21-1,train,"['v1', 'v2', 'v3']",Beethoven/Piano_Sonatas/21-1_no_repeat,Beethoven/Piano_Sonatas/21-1_no_repeat/xml_score.musicxml,Beethoven/Piano_Sonatas/21-1_no_repeat/midi_score.mid,Beethoven/Piano_Sonatas/21-1_no_repeat/Song03M.mid,Beethoven/Piano_Sonatas/21-1_no_repeat/Song03M.wav,2011/MIDI-Unprocessed_13_R1_2011_MID--AUDIO_R1-D5_04_Track04_wav.midi,2011/MIDI-Unprocessed_13_R1_2011_MID--AUDIO_R1-D5_04_Track04_wav.wav,521.5646494,1.0,9
Beethoven,Piano_Sonatas_21-1,train,"['v1', 'v2', 'v3']",Beethoven/Piano_Sonatas/21-1_no_repeat,Beethoven/Piano_Sonatas/21-1_no_repeat/xml_score.musicxml,Beethoven/Piano_Sonatas/21-1_no_repeat/midi_score.mid,Beethoven/Piano_Sonatas/21-1_no_repeat/SunY02M.mid,Beethoven/Piano_Sonatas/21-1_no_repeat/SunY02M.wav,2017/MIDI-Unprocessed_059_PIANO059_MID--AUDIO-split_07-07-17_Piano-e_2-03_wav--2.midi,2017/MIDI-Unprocessed_059_PIANO059_MID--AUDIO-split_07-07-17_Piano-e_2-03_wav--2.wav,480.3961503,1.0,9
Beethoven,Piano_Sonatas_21-1,train,"['v1', 'v2', 'v3']",Beethoven/Piano_Sonatas/21-1_no_repeat,Beethoven/Piano_Sonatas/21-1_no_repeat/xml_score.musicxml,Beethoven/Piano_Sonatas/21-1_no_repeat/midi_score.mid,Beethoven/Piano_Sonatas/21-1_no_repeat/Tetzloff05M.mid,Beethoven/Piano_Sonatas/21-1_no_repeat/Tetzloff05M.wav,2008/MIDI-Unprocessed_15_R1_2008_01-04_ORIG_MID--AUDIO_15_R1_2008_wav--2.midi,2008/MIDI-Unprocessed_15_R1_2008_01-04_ORIG_MID--AUDIO_15_R1_2008_wav--2.wav,481.751655,1.0,9
Beethoven,Piano_Sonatas_21-1,train,"['v1', 'v2', 'v3']",Beethoven/Piano_Sonatas/21-1_no_repeat,Beethoven/Piano_Sonatas/21-1_no_repeat/xml_score.musicxml,Beethoven/Piano_Sonatas/21-1_no_repeat/midi_score.mid,Beethoven/Piano_Sonatas/21-1_no_repeat/ToA02M.mid,Beethoven/Piano_Sonatas/21-1_no_repeat/ToA02M.wav,2017/MIDI-Unprocessed_048_PIANO048_MID--AUDIO-split_07-06-17_Piano-e_2-05_wav--2.midi,2017/MIDI-Unprocessed_048_PIANO048_MID--AUDIO-split_07-06-17_Piano-e_2-05_wav--2.wav,484.1910035,1.0,9
Beethoven,Piano_Sonatas_21-1,train,"['v1', 'v2', 'v3']",Beethoven/Piano_Sonatas/21-1_no_repeat,Beethoven/Piano_Sonatas/21-1_no_repeat/xml_score.musicxml,Beethoven/Piano_Sonatas/21-1_no_repeat/midi_score.mid,Beethoven/Piano_Sonatas/21-1_no_repeat/TongB03M.mid,Beethoven/Piano_Sonatas/21-1_no_repeat/TongB03M.wav,2017/MIDI-Unprocessed_056_PIANO056_MID--AUDIO-split_07-07-17_Piano-e_1-05_wav--3.midi,2017/MIDI-Unprocessed_056_PIANO056_MID--AUDIO-split_07-07-17_Piano-e_1-05_wav--3.wav,501.5189101,1.0,9
Beethoven,Piano_Sonatas_21-1,train,"['v1', 'v2', 'v3']",Beethoven/Piano_Sonatas/21-1_no_repeat,Beethoven/Piano_Sonatas/21-1_no_repeat/xml_score.musicxml,Beethoven/Piano_Sonatas/21-1_no_repeat/midi_score.mid,Beethoven/Piano_Sonatas/21-1_no_repeat/WangA02M.mid,Beethoven/Piano_Sonatas/21-1_no_repeat/WangA02M.wav,2017/MIDI-Unprocessed_041_PIANO041_MID--AUDIO-split_07-06-17_Piano-e_1-01_wav--2.midi,2017/MIDI-Unprocessed_041_PIANO041_MID--AUDIO-split_07-06-17_Piano-e_1-01_wav--2.wav,473.1931942,1.0,9
Beethoven,Piano_Sonatas_21-1,train,"['v1', 'v2', 'v3']",Beethoven/Piano_Sonatas/21-1_no_repeat,Beethoven/Piano_Sonatas/21-1_no_repeat/xml_score.musicxml,Beethoven/Piano_Sonatas/21-1_no_repeat/midi_score.mid,Beethoven/Piano_Sonatas/21-1_no_repeat/YeZ02M.mid,Beethoven/Piano_Sonatas/21-1_no_repeat/YeZ02M.wav,2013/ORIG-MIDI_01_7_6_13_Group__MID--AUDIO_03_R1_2013_wav--2.midi,2013/ORIG-MIDI_01_7_6_13_Group__MID--AUDIO_03_R1_2013_wav--2.wav,534.7016555,1.0,9
Beethoven,Piano_Sonatas_21-1,train,"['v1', 'v2', 'v3']",Beethoven/Piano_Sonatas/21-1_no_repeat,Beethoven/Piano_Sonatas/21-1_no_repeat/xml_score.musicxml,Beethoven/Piano_Sonatas/21-1_no_repeat/midi_score.mid,Beethoven/Piano_Sonatas/21-1_no_repeat/ZhangW01M.mid,Beethoven/Piano_Sonatas/21-1_no_repeat/ZhangW01M.wav,2017/MIDI-Unprocessed_062_PIANO062_MID--AUDIO-split_07-07-17_Piano-e_2-07_wav--1.midi,2017/MIDI-Unprocessed_062_PIANO062_MID--AUDIO-split_07-07-17_Piano-e_2-07_wav--1.wav,488.3330772,1.0,9
Beethoven,Piano_Sonatas_11-1,validation,"['v1', 'v2', 'v3']",Beethoven/Piano_Sonatas/11-1,Beethoven/Piano_Sonatas/11-1/xml_score.musicxml,Beethoven/Piano_Sonatas/11-1/midi_score.mid,Beethoven/Piano_Sonatas/11-1/LiC03M.mid,Beethoven/Piano_Sonatas/11-1/LiC03M.wav,2017/MIDI-Unprocessed_058_PIANO058_MID--AUDIO-split_07-07-17_Piano-e_2-02_wav--3.midi,2017/MIDI-Unprocessed_058_PIANO058_MID--AUDIO-split_07-07-17_Piano-e_2-02_wav--3.wav,321.7943634,1.0,7
Beethoven,Piano_Sonatas_11-1,validation,"['v1', 'v2', 'v3']",Beethoven/Piano_Sonatas/11-1,Beethoven/Piano_Sonatas/11-1/xml_score.musicxml,Beethoven/Piano_Sonatas/11-1/midi_score.mid,Beethoven/Piano_Sonatas/11-1/LiYZ03M.mid,Beethoven/Piano_Sonatas/11-1/LiYZ03M.wav,2015/MIDI-Unprocessed_R1_D1-1-8_mid--AUDIO-from_mp3_03_R1_2015_wav--3.midi,2015/MIDI-Unprocessed_R1_D1-1-8_mid--AUDIO-from_mp3_03_R1_2015_wav--3.wav,336.2583333,1.0,7
Beethoven,Piano_Sonatas_11-1,validation,"['v1', 'v2', 'v3']",Beethoven/Piano_Sonatas/11-1,Beethoven/Piano_Sonatas/11-1/xml_score.musicxml,Beethoven/Piano_Sonatas/11-1/midi_score.mid,Beethoven/Piano_Sonatas/11-1/MaximovI02M.mid,Beethoven/Piano_Sonatas/11-1/MaximovI02M.wav,2014/MIDI-UNPROCESSED_16-18_R1_2014_MID--AUDIO_16_R1_2014_wav--2.midi,2014/MIDI-UNPROCESSED_16-18_R1_2014_MID--AUDIO_16_R1_2014_wav--2.wav,1320.414011,0.0,7
Beethoven,Piano_Sonatas_11-1,validation,"['v1', 'v2', 'v3']",Beethoven/Piano_Sonatas/11-1,Beethoven/Piano_Sonatas/11-1/xml_score.musicxml,Beethoven/Piano_Sonatas/11-1/midi_score.mid,Beethoven/Piano_Sonatas/11-1/ZhaoK02M.mid,Beethoven/Piano_Sonatas/11-1/ZhaoK02M.wav,2015/MIDI-Unprocessed_R1_D2-13-20_mid--AUDIO-from_mp3_13_R1_2015_wav--2.midi,2015/MIDI-Unprocessed_R1_D2-13-20_mid--AUDIO-from_mp3_13_R1_2015_wav--2.wav,318.44375,1.0,7
Beethoven,Piano_Sonatas_27-1,validation,"['v1', 'v2', 'v3']",Beethoven/Piano_Sonatas/27-1,Beethoven/Piano_Sonatas/27-1/xml_score.musicxml,Beethoven/Piano_Sonatas/27-1/midi_score.mid,Beethoven/Piano_Sonatas/27-1/GiacomelliN04M.mid,Beethoven/Piano_Sonatas/27-1/GiacomelliN04M.wav,2018/MIDI-Unprocessed_Recital4_MID--AUDIO_04_R1_2018_wav--3.midi,2018/MIDI-Unprocessed_Recital4_MID--AUDIO_04_R1_2018_wav--3.wav,760.2770175,1.0,7
Beethoven,Piano_Sonatas_27-1,validation,"['v1', 'v2', 'v3']",Beethoven/Piano_Sonatas/27-1,Beethoven/Piano_Sonatas/27-1/xml_score.musicxml,Beethoven/Piano_Sonatas/27-1/midi_score.mid,Beethoven/Piano_Sonatas/27-1/Ko05M.mid,Beethoven/Piano_Sonatas/27-1/Ko05M.wav,2008/MIDI-Unprocessed_07_R1_2008_01-04_ORIG_MID--AUDIO_07_R1_2008_wav--2.midi,2008/MIDI-Unprocessed_07_R1_2008_01-04_ORIG_MID--AUDIO_07_R1_2008_wav--2.wav,308.5360163,1.0,7
Beethoven,Piano_Sonatas_27-1,validation,"['v1', 'v2', 'v3']",Beethoven/Piano_Sonatas/27-1,Beethoven/Piano_Sonatas/27-1/xml_score.musicxml,Beethoven/Piano_Sonatas/27-1/midi_score.mid,Beethoven/Piano_Sonatas/27-1/MiyashitaM02M.mid,Beethoven/Piano_Sonatas/27-1/MiyashitaM02M.wav,2017/MIDI-Unprocessed_051_PIANO051_MID--AUDIO-split_07-06-17_Piano-e_3-02_wav--2.midi,2017/MIDI-Unprocessed_051_PIANO051_MID--AUDIO-split_07-06-17_Piano-e_3-02_wav--2.wav,318.4204483,1.0,7
Beethoven,Piano_Sonatas_18-1,test,"['v1', 'v2', 'v3']",Beethoven/Piano_Sonatas/18-1,Beethoven/Piano_Sonatas/18-1/xml_score.musicxml,Beethoven/Piano_Sonatas/18-1/midi_score.mid,Beethoven/Piano_Sonatas/18-1/ChenGuang03M.mid,Beethoven/Piano_Sonatas/18-1/ChenGuang03M.wav,2014/MIDI-UNPROCESSED_04-05_R1_2014_MID--AUDIO_04_R1_2014_wav--2.midi,2014/MIDI-UNPROCESSED_04-05_R1_2014_MID--AUDIO_04_R1_2014_wav--2.wav,1206.218078,1.0,8
Beethoven,Piano_Sonatas_18-1,test,"['v1', 'v2', 'v3']",Beethoven/Piano_Sonatas/18-1,Beethoven/Piano_Sonatas/18-1/xml_score.musicxml,Beethoven/Piano_Sonatas/18-1/midi_score.mid,Beethoven/Piano_Sonatas/18-1/KOLESO06M.mid,Beethoven/Piano_Sonatas/18-1/KOLESO06M.wav,2004/MIDI-Unprocessed_XP_15_R1_2004_03_ORIG_MID--AUDIO_15_R1_2004_03_Track03_wav.midi,2004/MIDI-Unprocessed_XP_15_R1_2004_03_ORIG_MID--AUDIO_15_R1_2004_03_Track03_wav.wav,1118.901614,0.0,8
Beethoven,Piano_Sonatas_18-1,test,"['v1', 'v2', 'v3']",Beethoven/Piano_Sonatas/18-1,Beethoven/Piano_Sonatas/18-1/xml_score.musicxml,Beethoven/Piano_Sonatas/18-1/midi_score.mid,Beethoven/Piano_Sonatas/18-1/LeungR02M.mid,Beethoven/Piano_Sonatas/18-1/LeungR02M.wav,2017/MIDI-Unprocessed_066_PIANO066_MID--AUDIO-split_07-07-17_Piano-e_3-02_wav--2.midi,2017/MIDI-Unprocessed_066_PIANO066_MID--AUDIO-split_07-07-17_Piano-e_3-02_wav--2.wav,353.245064,1.0,8
Beethoven,Piano_Sonatas_18-1,test,"['v1', 'v2', 'v3']",Beethoven/Piano_Sonatas/18-1,Beethoven/Piano_Sonatas/18-1/xml_score.musicxml,Beethoven/Piano_Sonatas/18-1/midi_score.mid,Beethoven/Piano_Sonatas/18-1/Levitsky05M.mid,Beethoven/Piano_Sonatas/18-1/Levitsky05M.wav,2008/MIDI-Unprocessed_09_R1_2008_01-05_ORIG_MID--AUDIO_09_R1_2008_wav--2.midi,2008/MIDI-Unprocessed_09_R1_2008_01-05_ORIG_MID--AUDIO_09_R1_2008_wav--2.wav,351.6703214,0.0,8
Beethoven,Piano_Sonatas_18-1,test,"['v1', 'v2', 'v3']",Beethoven/Piano_Sonatas/18-1,Beethoven/Piano_Sonatas/18-1/xml_score.musicxml,Beethoven/Piano_Sonatas/18-1/midi_score.mid,Beethoven/Piano_Sonatas/18-1/ZhangH05M.mid,Beethoven/Piano_Sonatas/18-1/ZhangH05M.wav,2008/MIDI-Unprocessed_18_R1_2008_01-04_ORIG_MID--AUDIO_18_R1_2008_wav--2.midi,2008/MIDI-Unprocessed_18_R1_2008_01-04_ORIG_MID--AUDIO_18_R1_2008_wav--2.wav,352.3474041,1.0,8
Beethoven,Piano_Sonatas_18-4,test,"['v1', 'v2', 'v3']",Beethoven/Piano_Sonatas/18-4,Beethoven/Piano_Sonatas/18-4/xml_score.musicxml,Beethoven/Piano_Sonatas/18-4/midi_score.mid,Beethoven/Piano_Sonatas/18-4/ChenGuang06M.mid,Beethoven/Piano_Sonatas/18-4/ChenGuang06M.wav,2014/MIDI-UNPROCESSED_04-05_R1_2014_MID--AUDIO_04_R1_2014_wav--2.midi,2014/MIDI-UNPROCESSED_04-05_R1_2014_MID--AUDIO_04_R1_2014_wav--2.wav,1206.218078,1.0,7
