composer,title,split,performer,model,recording,p_no,r_no,f_no
Beethoven,Piano_Sonatas_18-1,test,ChenGuang03M,kong,maestro,0.9242,0.9081,0.9161
Beethoven,Piano_Sonatas_18-1,test,ChenGuang03M,T5,maestro,0.9322,0.9053,0.9186
Beethoven,Piano_Sonatas_18-1,test,ChenGuang03M,oaf,maestro,0.8786,0.8447,0.8613
Beethoven,Piano_Sonatas_18-1,test,ChenGuang03M,oaf,disklavier,0.7738,0.7347,0.7537
Beethoven,Piano_Sonatas_18-1,test,ChenGuang03M,T5,disklavier,0.736,0.7669,0.7511
Beethoven,Piano_Sonatas_18-1,test,ChenGuang03M,kong,disklavier,0.8505,0.8434,0.8469
Beethoven,Piano_Sonatas_18-1,test,KOLESO06M,kong,maestro,0.9174,0.9,0.9086
Beethoven,Piano_Sonatas_18-1,test,KOLESO06M,oaf,maestro,0.85,0.8093,0.8291
Beethoven,Piano_Sonatas_18-1,test,KOLESO06M,T5,maestro,0.941,0.9081,0.9243
Beethoven,Piano_Sonatas_18-1,test,KOLESO06M,T5,disklavier,0.8186,0.8418,0.8301
Beethoven,Piano_Sonatas_18-1,test,KOLESO06M,oaf,disklavier,0.717,0.6719,0.6937
Beethoven,Piano_Sonatas_18-1,test,KOLESO06M,kong,disklavier,0.9009,0.8876,0.8942
Beethoven,Piano_Sonatas_18-1,test,LeungR02M,kong,maestro,0.9475,0.9365,0.942
Beethoven,Piano_Sonatas_18-1,test,LeungR02M,T5,maestro,0.9636,0.9423,0.9529
Beethoven,Piano_Sonatas_18-1,test,LeungR02M,oaf,maestro,0.794,0.7709,0.7823
Beethoven,Piano_Sonatas_18-1,test,LeungR02M,kong,disklavier,0.895,0.889,0.892
Beethoven,Piano_Sonatas_18-1,test,LeungR02M,oaf,disklavier,0.6069,0.5816,0.594
Beethoven,Piano_Sonatas_18-1,test,LeungR02M,T5,disklavier,0.7766,0.8209,0.7981
Beethoven,Piano_Sonatas_18-1,test,Levitsky05M,oaf,maestro,0.8904,0.8538,0.8717
Beethoven,Piano_Sonatas_18-1,test,Levitsky05M,kong,maestro,0.9004,0.8937,0.897
Beethoven,Piano_Sonatas_18-1,test,Levitsky05M,T5,maestro,0.9301,0.9011,0.9154
Beethoven,Piano_Sonatas_18-1,test,Levitsky05M,kong,disklavier,0.8932,0.8835,0.8883
Beethoven,Piano_Sonatas_18-1,test,Levitsky05M,oaf,disklavier,0.4016,0.3832,0.3922
Beethoven,Piano_Sonatas_18-1,test,Levitsky05M,T5,disklavier,0.8299,0.847,0.8384
Beethoven,Piano_Sonatas_18-1,test,ZhangH05M,T5,maestro,0.9356,0.9054,0.9203
Beethoven,Piano_Sonatas_18-1,test,ZhangH05M,kong,maestro,0.9019,0.8848,0.8933
Beethoven,Piano_Sonatas_18-1,test,ZhangH05M,oaf,maestro,0.8741,0.8428,0.8581
Beethoven,Piano_Sonatas_18-1,test,ZhangH05M,kong,disklavier,0.9015,0.9001,0.9008
Beethoven,Piano_Sonatas_18-1,test,ZhangH05M,T5,disklavier,0.8086,0.8418,0.8249
Beethoven,Piano_Sonatas_18-1,test,ZhangH05M,oaf,disklavier,0.7782,0.745,0.7613
Beethoven,Piano_Sonatas_18-4,test,ChenGuang06M,oaf,maestro,0.801,0.7736,0.7871
Beethoven,Piano_Sonatas_18-4,test,ChenGuang06M,kong,maestro,0.9065,0.8967,0.9016
Beethoven,Piano_Sonatas_18-4,test,ChenGuang06M,T5,maestro,0.0413,0.0403,0.0408
Beethoven,Piano_Sonatas_18-4,test,ChenGuang06M,T5,disklavier,0.653,0.6817,0.667
Beethoven,Piano_Sonatas_18-4,test,ChenGuang06M,oaf,disklavier,0.6878,0.6639,0.6757
Beethoven,Piano_Sonatas_18-4,test,ChenGuang06M,kong,disklavier,0.8281,0.8279,0.828
Beethoven,Piano_Sonatas_18-4,test,KOLESO06M,oaf,maestro,0.8085,0.7783,0.7931
Beethoven,Piano_Sonatas_18-4,test,KOLESO06M,T5,maestro,0.0523,0.051,0.0516
Beethoven,Piano_Sonatas_18-4,test,KOLESO06M,kong,maestro,0.908,0.8951,0.9015
Beethoven,Piano_Sonatas_18-4,test,KOLESO06M,T5,disklavier,0.7645,0.7856,0.7749
Beethoven,Piano_Sonatas_18-4,test,KOLESO06M,oaf,disklavier,0.7586,0.7294,0.7437
Beethoven,Piano_Sonatas_18-4,test,KOLESO06M,kong,disklavier,0.8858,0.8792,0.8825
Chopin,Polonaises_53,test,Chon08M,T5,maestro,0.8432,0.7566,0.7975
Chopin,Polonaises_53,test,Chon08M,oaf,maestro,0.625,0.5598,0.5906
Chopin,Polonaises_53,test,Chon08M,kong,maestro,0.8236,0.7649,0.7931
Chopin,Polonaises_53,test,Chon08M,kong,disklavier,0.6708,0.6638,0.6673
Chopin,Polonaises_53,test,Chon08M,oaf,disklavier,0.5283,0.4782,0.502
Chopin,Polonaises_53,test,Chon08M,T5,disklavier,0.4859,0.4894,0.4876
Chopin,Polonaises_53,test,YeF11M,kong,maestro,0.8974,0.8526,0.8744
Chopin,Polonaises_53,test,YeF11M,T5,maestro,0.9011,0.8211,0.8592
Chopin,Polonaises_53,test,YeF11M,oaf,maestro,0.8081,0.7285,0.7662
Chopin,Polonaises_53,test,YeF11M,oaf,disklavier,0.7465,0.6896,0.7169
Chopin,Polonaises_53,test,YeF11M,T5,disklavier,0.64,0.6338,0.6369
Chopin,Polonaises_53,test,YeF11M,kong,disklavier,0.8001,0.7923,0.7962
Chopin,Sonata_2_4th,test,KaszoS16M,kong,maestro,0.7453,0.7197,0.7323
Chopin,Sonata_2_4th,test,KaszoS16M,T5,maestro,0.8207,0.7445,0.7808
Chopin,Sonata_2_4th,test,KaszoS16M,oaf,maestro,0.6277,0.5523,0.5876
Chopin,Sonata_2_4th,test,KaszoS16M,oaf,disklavier,0.6966,0.615,0.6533
Chopin,Sonata_2_4th,test,KaszoS16M,T5,disklavier,0.6502,0.6002,0.6242
Chopin,Sonata_2_4th,test,KaszoS16M,kong,disklavier,0.5595,0.5452,0.5523
Debussy,Pour_le_Piano_1,test,MunA12M,kong,maestro,0.9031,0.8667,0.8845
Debussy,Pour_le_Piano_1,test,MunA12M,T5,maestro,0.8889,0.8395,0.8635
Debussy,Pour_le_Piano_1,test,MunA12M,oaf,maestro,0.8463,0.7733,0.8082
Debussy,Pour_le_Piano_1,test,MunA12M,oaf,disklavier,0.7275,0.6435,0.6829
Debussy,Pour_le_Piano_1,test,MunA12M,kong,disklavier,0.7341,0.7121,0.723
Debussy,Pour_le_Piano_1,test,MunA12M,T5,disklavier,0.6129,0.6007,0.6067
Liszt,Transcendental_Etudes_10,test,LeungM06M,oaf,maestro,0.7311,0.6404,0.6827
Liszt,Transcendental_Etudes_10,test,LeungM06M,kong,maestro,0.8416,0.7717,0.8051
Liszt,Transcendental_Etudes_10,test,LeungM06M,T5,maestro,0.8468,0.7486,0.7947
Liszt,Transcendental_Etudes_10,test,LeungM06M,oaf,disklavier,0.7136,0.6276,0.6679
Liszt,Transcendental_Etudes_10,test,LeungM06M,T5,disklavier,0.6436,0.6021,0.6222
Liszt,Transcendental_Etudes_10,test,LeungM06M,kong,disklavier,0.7671,0.7226,0.7442
Liszt,Transcendental_Etudes_11,test,Huang18M,kong,maestro,0.039,0.0368,0.0379
Liszt,Transcendental_Etudes_11,test,Huang18M,T5,maestro,0.0407,0.0376,0.0391
Liszt,Transcendental_Etudes_11,test,Huang18M,oaf,maestro,0.0379,0.0341,0.0359
Liszt,Transcendental_Etudes_11,test,Huang18M,oaf,disklavier,0.0824,0.0761,0.0792
Liszt,Transcendental_Etudes_11,test,Huang18M,kong,disklavier,0.0954,0.0957,0.0955
Liszt,Transcendental_Etudes_11,test,Huang18M,T5,disklavier,0.0832,0.0865,0.0848
Rachmaninoff,Preludes_op_23_6,test,Nikiforov14M,kong,maestro,0.8781,0.8542,0.866
Rachmaninoff,Preludes_op_23_6,test,Nikiforov14M,T5,maestro,0.8295,0.7877,0.8081
Rachmaninoff,Preludes_op_23_6,test,Nikiforov14M,oaf,maestro,0.8401,0.7829,0.8105
Rachmaninoff,Preludes_op_23_6,test,Nikiforov14M,T5,disklavier,0.6476,0.6611,0.6542
Rachmaninoff,Preludes_op_23_6,test,Nikiforov14M,oaf,disklavier,0.7751,0.7292,0.7514
Rachmaninoff,Preludes_op_23_6,test,Nikiforov14M,kong,disklavier,0.8068,0.7965,0.8016
Schubert,Impromptu_op.90_D.899_4,test,Huang10M,oaf,maestro,0.6479,0.62,0.6337
Schubert,Impromptu_op.90_D.899_4,test,Huang10M,T5,maestro,0.7976,0.7382,0.7668
Schubert,Impromptu_op.90_D.899_4,test,Huang10M,kong,maestro,0.7627,0.7438,0.7531
Schubert,Impromptu_op.90_D.899_4,test,Huang10M,T5,disklavier,0.3422,0.3498,0.346
Schubert,Impromptu_op.90_D.899_4,test,Huang10M,kong,disklavier,0.4756,0.471,0.4733
Schubert,Impromptu_op.90_D.899_4,test,Huang10M,oaf,disklavier,0.3944,0.3657,0.3795
Schubert,Impromptu_op.90_D.899_4,test,Lin11M,oaf,maestro,0.8227,0.7905,0.8063
Schubert,Impromptu_op.90_D.899_4,test,Lin11M,kong,maestro,0.8745,0.8549,0.8646
Schubert,Impromptu_op.90_D.899_4,test,Lin11M,T5,maestro,0.9088,0.8417,0.8739
Schubert,Impromptu_op.90_D.899_4,test,Lin11M,oaf,disklavier,0.7536,0.719,0.7359
Schubert,Impromptu_op.90_D.899_4,test,Lin11M,T5,disklavier,0.7388,0.7246,0.7316
Schubert,Impromptu_op.90_D.899_4,test,Lin11M,kong,disklavier,0.8237,0.8277,0.8257
Schubert,Impromptu_op.90_D.899_4,test,LuoJ09M,T5,maestro,0.9135,0.88,0.8965
Schubert,Impromptu_op.90_D.899_4,test,LuoJ09M,kong,maestro,0.8956,0.8933,0.8944
Schubert,Impromptu_op.90_D.899_4,test,LuoJ09M,oaf,maestro,0.8412,0.8225,0.8318
Schubert,Impromptu_op.90_D.899_4,test,LuoJ09M,T5,disklavier,0.697,0.6833,0.6901
Schubert,Impromptu_op.90_D.899_4,test,LuoJ09M,oaf,disklavier,0.7333,0.6789,0.7051
Schubert,Impromptu_op.90_D.899_4,test,LuoJ09M,kong,disklavier,0.7734,0.7691,0.7713
Schubert,Impromptu_op.90_D.899_4,test,WongWY08M,T5,maestro,0.917,0.8766,0.8964
Schubert,Impromptu_op.90_D.899_4,test,WongWY08M,oaf,maestro,0.8507,0.8346,0.8426
Schubert,Impromptu_op.90_D.899_4,test,WongWY08M,kong,maestro,0.9016,0.8969,0.8993
Schubert,Impromptu_op.90_D.899_4,test,WongWY08M,kong,disklavier,0.7767,0.7803,0.7785
Schubert,Impromptu_op.90_D.899_4,test,WongWY08M,oaf,disklavier,0.7259,0.6854,0.7051
Schubert,Impromptu_op.90_D.899_4,test,WongWY08M,T5,disklavier,0.6791,0.6852,0.6821
Schubert,Piano_Sonatas_664-1,test,BuiJL06M,oaf,maestro,0.7497,0.7173,0.7331
Schubert,Piano_Sonatas_664-1,test,BuiJL06M,kong,maestro,0.8839,0.876,0.8799
Schubert,Piano_Sonatas_664-1,test,BuiJL06M,T5,maestro,0.8791,0.8523,0.8655
Schubert,Piano_Sonatas_664-1,test,BuiJL06M,T5,disklavier,0.3936,0.4046,0.399
Schubert,Piano_Sonatas_664-1,test,BuiJL06M,kong,disklavier,0.5025,0.5087,0.5056
Schubert,Piano_Sonatas_664-1,test,BuiJL06M,oaf,disklavier,0.4396,0.413,0.4259
Schubert,Piano_Sonatas_664-1,test,KabuliL10M,T5,maestro,0.847,0.8238,0.8352
Schubert,Piano_Sonatas_664-1,test,KabuliL10M,oaf,maestro,0.7158,0.6862,0.7007
Schubert,Piano_Sonatas_664-1,test,KabuliL10M,kong,maestro,0.8487,0.8375,0.8431
Schubert,Piano_Sonatas_664-1,test,KabuliL10M,T5,disklavier,0.4383,0.4548,0.4464
Schubert,Piano_Sonatas_664-1,test,KabuliL10M,oaf,disklavier,0.5206,0.4917,0.5058
Schubert,Piano_Sonatas_664-1,test,KabuliL10M,kong,disklavier,0.5972,0.6103,0.6036
Bach,Fugue_bwv_848,train,Denisova06M,oaf,maestro,0.8146,0.8026,0.8086
Bach,Fugue_bwv_848,train,Denisova06M,kong,maestro,0.9565,0.9512,0.9538
Bach,Fugue_bwv_848,train,Denisova06M,T5,maestro,0.1323,0.1304,0.1314
Bach,Fugue_bwv_848,train,Denisova06M,oaf,disklavier,0.6517,0.6457,0.6487
Bach,Fugue_bwv_848,train,Denisova06M,T5,disklavier,0.868,0.8849,0.8764
Bach,Fugue_bwv_848,train,Denisova06M,kong,disklavier,0.9519,0.9526,0.9522
Bach,Fugue_bwv_848,train,Lin04M,oaf,maestro,0.8174,0.8014,0.8093
Bach,Fugue_bwv_848,train,Lin04M,kong,maestro,0.9362,0.9336,0.9349
Bach,Fugue_bwv_848,train,Lin04M,T5,maestro,0.0318,0.0315,0.0316
Bach,Fugue_bwv_848,train,Lin04M,T5,disklavier,0.8284,0.8476,0.8379
Bach,Fugue_bwv_848,train,Lin04M,kong,disklavier,0.9429,0.9476,0.9452
Bach,Fugue_bwv_848,train,Lin04M,oaf,disklavier,0.7008,0.6944,0.6976
Bach,Fugue_bwv_848,train,Lou01M,kong,maestro,0.949,0.947,0.948
Bach,Fugue_bwv_848,train,Lou01M,T5,maestro,0.0498,0.0495,0.0497
Bach,Fugue_bwv_848,train,Lou01M,oaf,maestro,0.8175,0.8095,0.8135
Bach,Fugue_bwv_848,train,Lou01M,T5,disklavier,0.8392,0.8667,0.8527
Bach,Fugue_bwv_848,train,Lou01M,oaf,disklavier,0.9277,0.9225,0.9251
Bach,Fugue_bwv_848,train,Lou01M,kong,disklavier,0.9431,0.9491,0.9461
Bach,Fugue_bwv_848,train,MiyashitaM01M,oaf,maestro,0.8734,0.8637,0.8685
Bach,Fugue_bwv_848,train,MiyashitaM01M,T5,maestro,0.0903,0.0897,0.09
Bach,Fugue_bwv_848,train,MiyashitaM01M,kong,maestro,0.9804,0.9764,0.9784
Bach,Fugue_bwv_848,train,MiyashitaM01M,oaf,disklavier,0.6872,0.6829,0.685
Bach,Fugue_bwv_848,train,MiyashitaM01M,T5,disklavier,0.823,0.8505,0.8365
Bach,Fugue_bwv_848,train,MiyashitaM01M,kong,disklavier,0.9343,0.9395,0.9369
Bach,Fugue_bwv_848,train,Mizumoto03M,kong,maestro,0.9686,0.9659,0.9673
Bach,Fugue_bwv_848,train,Mizumoto03M,T5,maestro,0.0645,0.0639,0.0642
Bach,Fugue_bwv_848,train,Mizumoto03M,oaf,maestro,0.8209,0.8124,0.8166
Bach,Fugue_bwv_848,train,Mizumoto03M,kong,disklavier,0.9355,0.9472,0.9413
Bach,Fugue_bwv_848,train,Mizumoto03M,T5,disklavier,0.8101,0.827,0.8184
Bach,Fugue_bwv_848,train,Mizumoto03M,oaf,disklavier,0.6779,0.6699,0.6739
Bach,Fugue_bwv_848,train,SunY01M,T5,maestro,0.0317,0.0314,0.0316
Bach,Fugue_bwv_848,train,SunY01M,oaf,maestro,0.8137,0.8057,0.8097
Bach,Fugue_bwv_848,train,SunY01M,kong,maestro,0.9685,0.9658,0.9671
Bach,Fugue_bwv_848,train,SunY01M,kong,disklavier,0.9194,0.9252,0.9223
Bach,Fugue_bwv_848,train,SunY01M,T5,disklavier,0.6878,0.7589,0.7216
Bach,Fugue_bwv_848,train,SunY01M,oaf,disklavier,0.6758,0.6702,0.673
Bach,Fugue_bwv_848,train,Zhou01M,T5,maestro,0.0963,0.0958,0.096
Bach,Fugue_bwv_848,train,Zhou01M,oaf,maestro,0.8305,0.8259,0.8282
Bach,Fugue_bwv_848,train,Zhou01M,kong,maestro,0.9706,0.9699,0.9703
Bach,Fugue_bwv_848,train,Zhou01M,kong,disklavier,0.9529,0.9629,0.9579
Bach,Fugue_bwv_848,train,Zhou01M,oaf,disklavier,0.6231,0.6196,0.6213
Bach,Fugue_bwv_848,train,Zhou01M,T5,disklavier,0.8281,0.8587,0.8431
Beethoven,Piano_Sonatas_21-1,train,GonzalezJ06M,T5,maestro,0.9444,0.9174,0.9307
Beethoven,Piano_Sonatas_21-1,train,GonzalezJ06M,kong,maestro,0.9003,0.8918,0.896
Beethoven,Piano_Sonatas_21-1,train,GonzalezJ06M,oaf,maestro,0.8738,0.8537,0.8636
Beethoven,Piano_Sonatas_21-1,train,GonzalezJ06M,oaf,disklavier,0.7791,0.7597,0.7693
Beethoven,Piano_Sonatas_21-1,train,GonzalezJ06M,T5,disklavier,0.794,0.7979,0.796
Beethoven,Piano_Sonatas_21-1,train,GonzalezJ06M,kong,disklavier,0.8477,0.8463,0.847
Beethoven,Piano_Sonatas_21-1,train,KimSY02M,oaf,maestro,0.6357,0.6259,0.6308
Beethoven,Piano_Sonatas_21-1,train,KimSY02M,kong,maestro,0.9211,0.9186,0.9199
Beethoven,Piano_Sonatas_21-1,train,KimSY02M,T5,maestro,0.9505,0.9256,0.9379
Beethoven,Piano_Sonatas_21-1,train,KimSY02M,T5,disklavier,0.7462,0.777,0.7613
Beethoven,Piano_Sonatas_21-1,train,KimSY02M,oaf,disklavier,0.8365,0.8258,0.8311
Beethoven,Piano_Sonatas_21-1,train,KimSY02M,kong,disklavier,0.8315,0.8421,0.8368
Beethoven,Piano_Sonatas_21-1,train,LeeN02M,T5,maestro,0.9671,0.9501,0.9585
Beethoven,Piano_Sonatas_21-1,train,LeeN02M,kong,maestro,0.9474,0.9424,0.9449
Beethoven,Piano_Sonatas_21-1,train,LeeN02M,oaf,maestro,0.8546,0.8424,0.8485
Beethoven,Piano_Sonatas_21-1,train,LeeN02M,kong,disklavier,0.8196,0.8276,0.8236
Beethoven,Piano_Sonatas_21-1,train,LeeN02M,T5,disklavier,0.6407,0.6918,0.6653
Beethoven,Piano_Sonatas_21-1,train,LeeN02M,oaf,disklavier,0.7045,0.6859,0.6951
Beethoven,Piano_Sonatas_21-1,train,RichardsonC02M,oaf,maestro,0.7654,0.7469,0.7561
Beethoven,Piano_Sonatas_21-1,train,RichardsonC02M,kong,maestro,0.9207,0.9109,0.9158
Beethoven,Piano_Sonatas_21-1,train,RichardsonC02M,T5,maestro,0.9527,0.9303,0.9414
Beethoven,Piano_Sonatas_21-1,train,RichardsonC02M,kong,disklavier,0.793,0.7945,0.7937
Beethoven,Piano_Sonatas_21-1,train,RichardsonC02M,T5,disklavier,0.6928,0.7192,0.7058
Beethoven,Piano_Sonatas_21-1,train,RichardsonC02M,oaf,disklavier,0.2753,0.2658,0.2705
Beethoven,Piano_Sonatas_21-1,train,Shychko02M,T5,maestro,0.9571,0.9402,0.9486
Beethoven,Piano_Sonatas_21-1,train,Shychko02M,kong,maestro,0.9135,0.9074,0.9105
Beethoven,Piano_Sonatas_21-1,train,Shychko02M,oaf,maestro,0.7476,0.7352,0.7413
Beethoven,Piano_Sonatas_21-1,train,Shychko02M,kong,disklavier,0.8651,0.8751,0.8701
Beethoven,Piano_Sonatas_21-1,train,Shychko02M,oaf,disklavier,0.6934,0.6769,0.6851
Beethoven,Piano_Sonatas_21-1,train,Shychko02M,T5,disklavier,0.7663,0.8039,0.7846
Beethoven,Piano_Sonatas_21-1,train,Sladek02M,oaf,maestro,0.7094,0.6984,0.7039
Beethoven,Piano_Sonatas_21-1,train,Sladek02M,kong,maestro,0.9167,0.9121,0.9144
Beethoven,Piano_Sonatas_21-1,train,Sladek02M,T5,maestro,0.9528,0.9281,0.9403
Beethoven,Piano_Sonatas_21-1,train,Sladek02M,oaf,disklavier,0.8571,0.8364,0.8466
Beethoven,Piano_Sonatas_21-1,train,Sladek02M,T5,disklavier,0.7388,0.7587,0.7486
Beethoven,Piano_Sonatas_21-1,train,Sladek02M,kong,disklavier,0.8421,0.8499,0.846
Beethoven,Piano_Sonatas_21-1,train,Song03M,oaf,maestro,0.6324,0.6252,0.6288
Beethoven,Piano_Sonatas_21-1,train,Song03M,kong,maestro,0.8824,0.879,0.8807
Beethoven,Piano_Sonatas_21-1,train,Song03M,T5,maestro,0.9298,0.9188,0.9243
Beethoven,Piano_Sonatas_21-1,train,Song03M,T5,disklavier,0.6364,0.6975,0.6656
Beethoven,Piano_Sonatas_21-1,train,Song03M,kong,disklavier,0.8095,0.8247,0.817
Beethoven,Piano_Sonatas_21-1,train,Song03M,oaf,disklavier,0.8512,0.8295,0.8402
Beethoven,Piano_Sonatas_21-1,train,SunY02M,T5,maestro,0.9723,0.962,0.9671
Beethoven,Piano_Sonatas_21-1,train,SunY02M,oaf,maestro,0.8406,0.831,0.8358
Beethoven,Piano_Sonatas_21-1,train,SunY02M,kong,maestro,0.9562,0.9531,0.9546
Beethoven,Piano_Sonatas_21-1,train,SunY02M,oaf,disklavier,0.6587,0.6399,0.6492
Beethoven,Piano_Sonatas_21-1,train,SunY02M,kong,disklavier,0.8286,0.841,0.8347
Beethoven,Piano_Sonatas_21-1,train,SunY02M,T5,disklavier,0.6767,0.719,0.6972
Beethoven,Piano_Sonatas_21-1,train,Tetzloff05M,T5,maestro,0.9359,0.9032,0.9192
