composer,title,split,performer,model,recording,peamt
Beethoven,Piano_Sonatas_18-1,test,ChenGuang03M,kong,maestro,0.4224
Beethoven,Piano_Sonatas_18-1,test,ChenGuang03M,oaf,maestro,0.4031
Beethoven,Piano_Sonatas_18-1,test,ChenGuang03M,T5,maestro,0.3811
Beethoven,Piano_Sonatas_18-1,test,ChenGuang03M,kong,disklavier,0.0095
Beethoven,Piano_Sonatas_18-1,test,ChenGuang03M,T5,disklavier,0.009
Beethoven,Piano_Sonatas_18-1,test,ChenGuang03M,oaf,disklavier,0.0113
Beethoven,Piano_Sonatas_18-1,test,KOLESO06M,T5,maestro,0.4544
Beethoven,Piano_Sonatas_18-1,test,KOLESO06M,oaf,maestro,0.4843
Beethoven,Piano_Sonatas_18-1,test,KOLESO06M,kong,maestro,0.4641
Beethoven,Piano_Sonatas_18-1,test,KOLESO06M,oaf,disklavier,0.0133
Beethoven,Piano_Sonatas_18-1,test,KOLESO06M,T5,disklavier,0.0089
Beethoven,Piano_Sonatas_18-1,test,KOLESO06M,kong,disklavier,0.0088
Beethoven,Piano_Sonatas_18-1,test,LeungR02M,T5,maestro,0.4869
Beethoven,Piano_Sonatas_18-1,test,LeungR02M,oaf,maestro,0.5332
Beethoven,Piano_Sonatas_18-1,test,LeungR02M,kong,maestro,0.4326
Beethoven,Piano_Sonatas_18-1,test,LeungR02M,T5,disklavier,0.0126
Beethoven,Piano_Sonatas_18-1,test,LeungR02M,oaf,disklavier,0.0184
Beethoven,Piano_Sonatas_18-1,test,LeungR02M,kong,disklavier,0.0129
Beethoven,Piano_Sonatas_18-1,test,Levitsky05M,kong,maestro,0.3996
Beethoven,Piano_Sonatas_18-1,test,Levitsky05M,T5,maestro,0.3694
Beethoven,Piano_Sonatas_18-1,test,Levitsky05M,oaf,maestro,0.5119
Beethoven,Piano_Sonatas_18-1,test,Levitsky05M,T5,disklavier,0.0088
Beethoven,Piano_Sonatas_18-1,test,Levitsky05M,kong,disklavier,0.0083
Beethoven,Piano_Sonatas_18-1,test,Levitsky05M,oaf,disklavier,0.013
Beethoven,Piano_Sonatas_18-1,test,ZhangH05M,T5,maestro,0.4248
Beethoven,Piano_Sonatas_18-1,test,ZhangH05M,oaf,maestro,0.5594
Beethoven,Piano_Sonatas_18-1,test,ZhangH05M,kong,maestro,0.5545
Beethoven,Piano_Sonatas_18-1,test,ZhangH05M,T5,disklavier,0.0128
Beethoven,Piano_Sonatas_18-1,test,ZhangH05M,oaf,disklavier,0.0155
Beethoven,Piano_Sonatas_18-1,test,ZhangH05M,kong,disklavier,0.0118
Beethoven,Piano_Sonatas_18-4,test,ChenGuang06M,T5,maestro,0.5806
Beethoven,Piano_Sonatas_18-4,test,ChenGuang06M,kong,maestro,0.722
Beethoven,Piano_Sonatas_18-4,test,ChenGuang06M,oaf,maestro,0.7335
Beethoven,Piano_Sonatas_18-4,test,ChenGuang06M,oaf,disklavier,0.0248
Beethoven,Piano_Sonatas_18-4,test,ChenGuang06M,T5,disklavier,0.0153
Beethoven,Piano_Sonatas_18-4,test,ChenGuang06M,kong,disklavier,0.0164
Beethoven,Piano_Sonatas_18-4,test,KOLESO06M,T5,maestro,0.6287
Beethoven,Piano_Sonatas_18-4,test,KOLESO06M,oaf,maestro,0.7381
Beethoven,Piano_Sonatas_18-4,test,KOLESO06M,kong,maestro,0.6956
Beethoven,Piano_Sonatas_18-4,test,KOLESO06M,oaf,disklavier,0.0144
Beethoven,Piano_Sonatas_18-4,test,KOLESO06M,T5,disklavier,0.0104
Beethoven,Piano_Sonatas_18-4,test,KOLESO06M,kong,disklavier,0.0104
Chopin,Polonaises_53,test,Chon08M,kong,maestro,0.697
Chopin,Polonaises_53,test,Chon08M,oaf,maestro,0.6569
Chopin,Polonaises_53,test,Chon08M,T5,maestro,0.6858
Chopin,Polonaises_53,test,Chon08M,T5,disklavier,0.0112
Chopin,Polonaises_53,test,Chon08M,oaf,disklavier,0.0178
Chopin,Polonaises_53,test,Chon08M,kong,disklavier,0.0149
Chopin,Polonaises_53,test,YeF11M,oaf,maestro,0.7254
Chopin,Polonaises_53,test,YeF11M,T5,maestro,0.7293
Chopin,Polonaises_53,test,YeF11M,kong,maestro,0.758
Chopin,Polonaises_53,test,YeF11M,kong,disklavier,0.0199
Chopin,Polonaises_53,test,YeF11M,T5,disklavier,0.0191
Chopin,Polonaises_53,test,YeF11M,oaf,disklavier,0.0215
Chopin,Sonata_2_4th,test,KaszoS16M,T5,maestro,0.551
Chopin,Sonata_2_4th,test,KaszoS16M,oaf,maestro,0.8168
Chopin,Sonata_2_4th,test,KaszoS16M,kong,maestro,0.7797
Chopin,Sonata_2_4th,test,KaszoS16M,oaf,disklavier,0.023
Chopin,Sonata_2_4th,test,KaszoS16M,T5,disklavier,0.0177
Chopin,Sonata_2_4th,test,KaszoS16M,kong,disklavier,0.0188
Debussy,Pour_le_Piano_1,test,MunA12M,T5,maestro,0.6773
Debussy,Pour_le_Piano_1,test,MunA12M,kong,maestro,0.7124
Debussy,Pour_le_Piano_1,test,MunA12M,oaf,maestro,0.7808
Debussy,Pour_le_Piano_1,test,MunA12M,kong,disklavier,0.0209
Debussy,Pour_le_Piano_1,test,MunA12M,oaf,disklavier,0.0281
Debussy,Pour_le_Piano_1,test,MunA12M,T5,disklavier,0.017
Liszt,Transcendental_Etudes_10,test,LeungM06M,T5,maestro,0.8307
Liszt,Transcendental_Etudes_10,test,LeungM06M,oaf,maestro,0.8376
Liszt,Transcendental_Etudes_10,test,LeungM06M,kong,maestro,0.8185
Liszt,Transcendental_Etudes_10,test,LeungM06M,kong,disklavier,0.0358
Liszt,Transcendental_Etudes_10,test,LeungM06M,oaf,disklavier,0.0515
Liszt,Transcendental_Etudes_10,test,LeungM06M,T5,disklavier,0.0261
Liszt,Transcendental_Etudes_11,test,Huang18M,T5,maestro,0.2843
Liszt,Transcendental_Etudes_11,test,Huang18M,oaf,maestro,0.3307
Liszt,Transcendental_Etudes_11,test,Huang18M,kong,maestro,0.275
Liszt,Transcendental_Etudes_11,test,Huang18M,oaf,disklavier,0.0384
Liszt,Transcendental_Etudes_11,test,Huang18M,T5,disklavier,0.0317
Liszt,Transcendental_Etudes_11,test,Huang18M,kong,disklavier,0.0378
Rachmaninoff,Preludes_op_23_6,test,Nikiforov14M,oaf,maestro,0.6841
Rachmaninoff,Preludes_op_23_6,test,Nikiforov14M,kong,maestro,0.6736
Rachmaninoff,Preludes_op_23_6,test,Nikiforov14M,T5,maestro,0.6213
Rachmaninoff,Preludes_op_23_6,test,Nikiforov14M,kong,disklavier,0.0069
Rachmaninoff,Preludes_op_23_6,test,Nikiforov14M,T5,disklavier,0.0071
Rachmaninoff,Preludes_op_23_6,test,Nikiforov14M,oaf,disklavier,0.0088
Schubert,Impromptu_op.90_D.899_4,test,Huang10M,oaf,maestro,0.719
Schubert,Impromptu_op.90_D.899_4,test,Huang10M,kong,maestro,0.8011
Schubert,Impromptu_op.90_D.899_4,test,Huang10M,T5,maestro,0.573
Schubert,Impromptu_op.90_D.899_4,test,Huang10M,oaf,disklavier,0.0281
Schubert,Impromptu_op.90_D.899_4,test,Huang10M,T5,disklavier,0.0182
Schubert,Impromptu_op.90_D.899_4,test,Huang10M,kong,disklavier,0.0242
Schubert,Impromptu_op.90_D.899_4,test,Lin11M,kong,maestro,0.7389
Schubert,Impromptu_op.90_D.899_4,test,Lin11M,T5,maestro,0.7238
Schubert,Impromptu_op.90_D.899_4,test,Lin11M,oaf,maestro,0.7919
Schubert,Impromptu_op.90_D.899_4,test,Lin11M,kong,disklavier,0.085
Schubert,Impromptu_op.90_D.899_4,test,Lin11M,T5,disklavier,0.0769
Schubert,Impromptu_op.90_D.899_4,test,Lin11M,oaf,disklavier,0.1085
Schubert,Impromptu_op.90_D.899_4,test,LuoJ09M,kong,maestro,0.6815
Schubert,Impromptu_op.90_D.899_4,test,LuoJ09M,oaf,maestro,0.6884
Schubert,Impromptu_op.90_D.899_4,test,LuoJ09M,T5,maestro,0.7322
Schubert,Impromptu_op.90_D.899_4,test,LuoJ09M,oaf,disklavier,0.0257
Schubert,Impromptu_op.90_D.899_4,test,LuoJ09M,kong,disklavier,0.0291
Schubert,Impromptu_op.90_D.899_4,test,LuoJ09M,T5,disklavier,0.0133
Schubert,Impromptu_op.90_D.899_4,test,WongWY08M,oaf,maestro,0.6953
Schubert,Impromptu_op.90_D.899_4,test,WongWY08M,kong,maestro,0.6603
Schubert,Impromptu_op.90_D.899_4,test,WongWY08M,T5,maestro,0.5744
Schubert,Impromptu_op.90_D.899_4,test,WongWY08M,oaf,disklavier,0.0395
Schubert,Impromptu_op.90_D.899_4,test,WongWY08M,T5,disklavier,0.024
Schubert,Impromptu_op.90_D.899_4,test,WongWY08M,kong,disklavier,0.0292
Schubert,Piano_Sonatas_664-1,test,BuiJL06M,T5,maestro,0.545
Schubert,Piano_Sonatas_664-1,test,BuiJL06M,kong,maestro,0.5679
Schubert,Piano_Sonatas_664-1,test,BuiJL06M,oaf,maestro,0.5539
Schubert,Piano_Sonatas_664-1,test,BuiJL06M,oaf,disklavier,0.0115
Schubert,Piano_Sonatas_664-1,test,BuiJL06M,kong,disklavier,0.0093
Schubert,Piano_Sonatas_664-1,test,BuiJL06M,T5,disklavier,0.008
Schubert,Piano_Sonatas_664-1,test,KabuliL10M,T5,maestro,0.5601
Schubert,Piano_Sonatas_664-1,test,KabuliL10M,oaf,maestro,0.6641
Schubert,Piano_Sonatas_664-1,test,KabuliL10M,kong,maestro,0.649
Schubert,Piano_Sonatas_664-1,test,KabuliL10M,T5,disklavier,0.0215
Schubert,Piano_Sonatas_664-1,test,KabuliL10M,oaf,disklavier,0.0221
Schubert,Piano_Sonatas_664-1,test,KabuliL10M,kong,disklavier,0.021
Bach,Fugue_bwv_848,train,Denisova06M,kong,maestro,0.8148
Bach,Fugue_bwv_848,train,Denisova06M,oaf,maestro,0.8402
Bach,Fugue_bwv_848,train,Denisova06M,T5,maestro,0.7676
Bach,Fugue_bwv_848,train,Denisova06M,T5,disklavier,0.0173
Bach,Fugue_bwv_848,train,Denisova06M,kong,disklavier,0.0179
Bach,Fugue_bwv_848,train,Denisova06M,oaf,disklavier,0.0215
Bach,Fugue_bwv_848,train,Lin04M,oaf,maestro,0.8299
Bach,Fugue_bwv_848,train,Lin04M,T5,maestro,0.7478
Bach,Fugue_bwv_848,train,Lin04M,kong,maestro,0.7858
Bach,Fugue_bwv_848,train,Lin04M,T5,disklavier,0.0301
Bach,Fugue_bwv_848,train,Lin04M,oaf,disklavier,0.0397
Bach,Fugue_bwv_848,train,Lin04M,kong,disklavier,0.0296
Bach,Fugue_bwv_848,train,Lou01M,kong,maestro,0.8044
Bach,Fugue_bwv_848,train,Lou01M,T5,maestro,0.7741
Bach,Fugue_bwv_848,train,Lou01M,oaf,maestro,0.8175
Bach,Fugue_bwv_848,train,Lou01M,kong,disklavier,0.0233
Bach,Fugue_bwv_848,train,Lou01M,T5,disklavier,0.023
Bach,Fugue_bwv_848,train,Lou01M,oaf,disklavier,0.0288
Bach,Fugue_bwv_848,train,MiyashitaM01M,oaf,maestro,0.8082
Bach,Fugue_bwv_848,train,MiyashitaM01M,T5,maestro,0.7698
Bach,Fugue_bwv_848,train,MiyashitaM01M,kong,maestro,0.7891
Bach,Fugue_bwv_848,train,MiyashitaM01M,kong,disklavier,0.0149
Bach,Fugue_bwv_848,train,MiyashitaM01M,T5,disklavier,0.0144
Bach,Fugue_bwv_848,train,MiyashitaM01M,oaf,disklavier,0.0243
Bach,Fugue_bwv_848,train,Mizumoto03M,kong,maestro,0.8089
Bach,Fugue_bwv_848,train,Mizumoto03M,T5,maestro,0.7375
Bach,Fugue_bwv_848,train,Mizumoto03M,oaf,maestro,0.8114
Bach,Fugue_bwv_848,train,Mizumoto03M,oaf,disklavier,0.045
Bach,Fugue_bwv_848,train,Mizumoto03M,T5,disklavier,0.0294
Bach,Fugue_bwv_848,train,Mizumoto03M,kong,disklavier,0.0296
Bach,Fugue_bwv_848,train,SunY01M,kong,maestro,0.8046
Bach,Fugue_bwv_848,train,SunY01M,oaf,maestro,0.7902
Bach,Fugue_bwv_848,train,SunY01M,T5,maestro,0.7267
Bach,Fugue_bwv_848,train,SunY01M,kong,disklavier,0.0219
Bach,Fugue_bwv_848,train,SunY01M,oaf,disklavier,0.0296
Bach,Fugue_bwv_848,train,SunY01M,T5,disklavier,0.0266
Bach,Fugue_bwv_848,train,Zhou01M,kong,maestro,0.8659
Bach,Fugue_bwv_848,train,Zhou01M,oaf,maestro,0.8483
Bach,Fugue_bwv_848,train,Zhou01M,T5,maestro,0.7996
Bach,Fugue_bwv_848,train,Zhou01M,T5,disklavier,0.0356
Bach,Fugue_bwv_848,train,Zhou01M,oaf,disklavier,0.0527
Bach,Fugue_bwv_848,train,Zhou01M,kong,disklavier,0.0378
Beethoven,Piano_Sonatas_21-1,train,GonzalezJ06M,T5,maestro,0.4014
Beethoven,Piano_Sonatas_21-1,train,GonzalezJ06M,kong,maestro,0.4687
Beethoven,Piano_Sonatas_21-1,train,GonzalezJ06M,oaf,maestro,0.5792
Beethoven,Piano_Sonatas_21-1,train,GonzalezJ06M,T5,disklavier,0.0204
Beethoven,Piano_Sonatas_21-1,train,GonzalezJ06M,kong,disklavier,0.0258
Beethoven,Piano_Sonatas_21-1,train,GonzalezJ06M,oaf,disklavier,0.0364
Beethoven,Piano_Sonatas_21-1,train,KimSY02M,T5,maestro,0.3405
Beethoven,Piano_Sonatas_21-1,train,KimSY02M,kong,maestro,0.5007
Beethoven,Piano_Sonatas_21-1,train,KimSY02M,oaf,maestro,0.6054
Beethoven,Piano_Sonatas_21-1,train,KimSY02M,oaf,disklavier,0.0355
Beethoven,Piano_Sonatas_21-1,train,KimSY02M,kong,disklavier,0.0231
Beethoven,Piano_Sonatas_21-1,train,KimSY02M,T5,disklavier,0.0264
Beethoven,Piano_Sonatas_21-1,train,LeeN02M,T5,maestro,0.3542
Beethoven,Piano_Sonatas_21-1,train,LeeN02M,oaf,maestro,0.6043
Beethoven,Piano_Sonatas_21-1,train,LeeN02M,kong,maestro,0.4715
Beethoven,Piano_Sonatas_21-1,train,LeeN02M,oaf,disklavier,0.0338
Beethoven,Piano_Sonatas_21-1,train,LeeN02M,kong,disklavier,0.0187
Beethoven,Piano_Sonatas_21-1,train,LeeN02M,T5,disklavier,0.0141
Beethoven,Piano_Sonatas_21-1,train,RichardsonC02M,T5,maestro,0.4245
Beethoven,Piano_Sonatas_21-1,train,RichardsonC02M,oaf,maestro,0.6403
Beethoven,Piano_Sonatas_21-1,train,RichardsonC02M,kong,maestro,0.5772
Beethoven,Piano_Sonatas_21-1,train,RichardsonC02M,oaf,disklavier,0.0423
Beethoven,Piano_Sonatas_21-1,train,RichardsonC02M,kong,disklavier,0.0221
Beethoven,Piano_Sonatas_21-1,train,RichardsonC02M,T5,disklavier,0.0188
Beethoven,Piano_Sonatas_21-1,train,Shychko02M,kong,maestro,0.4846
Beethoven,Piano_Sonatas_21-1,train,Shychko02M,oaf,maestro,0.5896
Beethoven,Piano_Sonatas_21-1,train,Shychko02M,T5,maestro,0.3216
Beethoven,Piano_Sonatas_21-1,train,Shychko02M,oaf,disklavier,0.0206
Beethoven,Piano_Sonatas_21-1,train,Shychko02M,T5,disklavier,0.0047
Beethoven,Piano_Sonatas_21-1,train,Shychko02M,kong,disklavier,0.0109
Beethoven,Piano_Sonatas_21-1,train,Sladek02M,oaf,maestro,0.5881
Beethoven,Piano_Sonatas_21-1,train,Sladek02M,kong,maestro,0.4569
Beethoven,Piano_Sonatas_21-1,train,Sladek02M,T5,maestro,0.4309
Beethoven,Piano_Sonatas_21-1,train,Sladek02M,kong,disklavier,0.0179
Beethoven,Piano_Sonatas_21-1,train,Sladek02M,oaf,disklavier,0.0254
Beethoven,Piano_Sonatas_21-1,train,Sladek02M,T5,disklavier,0.0128
Beethoven,Piano_Sonatas_21-1,train,Song03M,oaf,maestro,0.6427
Beethoven,Piano_Sonatas_21-1,train,Song03M,kong,maestro,0.5641
Beethoven,Piano_Sonatas_21-1,train,Song03M,T5,maestro,0.4476
Beethoven,Piano_Sonatas_21-1,train,Song03M,oaf,disklavier,0.0102
Beethoven,Piano_Sonatas_21-1,train,Song03M,kong,disklavier,0.0076
Beethoven,Piano_Sonatas_21-1,train,Song03M,T5,disklavier,0.007
Beethoven,Piano_Sonatas_21-1,train,SunY02M,T5,maestro,0.472
Beethoven,Piano_Sonatas_21-1,train,SunY02M,oaf,maestro,0.7244
Beethoven,Piano_Sonatas_21-1,train,SunY02M,kong,maestro,0.6194
Beethoven,Piano_Sonatas_21-1,train,SunY02M,oaf,disklavier,0.0507
Beethoven,Piano_Sonatas_21-1,train,SunY02M,kong,disklavier,0.0263
Beethoven,Piano_Sonatas_21-1,train,SunY02M,T5,disklavier,0.0175
Beethoven,Piano_Sonatas_21-1,train,Tetzloff05M,kong,maestro,0.3159
Beethoven,Piano_Sonatas_21-1,train,Tetzloff05M,T5,maestro,0.2939
Beethoven,Piano_Sonatas_21-1,train,Tetzloff05M,oaf,maestro,0.5225
Beethoven,Piano_Sonatas_21-1,train,Tetzloff05M,oaf,disklavier,0.023
Beethoven,Piano_Sonatas_21-1,train,Tetzloff05M,T5,disklavier,0.0122
Beethoven,Piano_Sonatas_21-1,train,Tetzloff05M,kong,disklavier,0.0109
Beethoven,Piano_Sonatas_21-1,train,ToA02M,oaf,maestro,0.7096
Beethoven,Piano_Sonatas_21-1,train,ToA02M,T5,maestro,0.4992
Beethoven,Piano_Sonatas_21-1,train,ToA02M,kong,maestro,0.6098
Beethoven,Piano_Sonatas_21-1,train,ToA02M,kong,disklavier,0.0251
Beethoven,Piano_Sonatas_21-1,train,ToA02M,oaf,disklavier,0.0337
Beethoven,Piano_Sonatas_21-1,train,ToA02M,T5,disklavier,0.0202
Beethoven,Piano_Sonatas_21-1,train,TongB03M,kong,maestro,0.4981
Beethoven,Piano_Sonatas_21-1,train,TongB03M,oaf,maestro,0.6002
Beethoven,Piano_Sonatas_21-1,train,TongB03M,T5,maestro,0.458
Beethoven,Piano_Sonatas_21-1,train,TongB03M,T5,disklavier,0.0162
Beethoven,Piano_Sonatas_21-1,train,TongB03M,kong,disklavier,0.0219
Beethoven,Piano_Sonatas_21-1,train,TongB03M,oaf,disklavier,0.0376
Beethoven,Piano_Sonatas_21-1,train,WangA02M,T5,maestro,0.4402
Beethoven,Piano_Sonatas_21-1,train,WangA02M,kong,maestro,0.5887
Beethoven,Piano_Sonatas_21-1,train,WangA02M,oaf,maestro,0.6399
Beethoven,Piano_Sonatas_21-1,train,WangA02M,oaf,disklavier,0.0382
Beethoven,Piano_Sonatas_21-1,train,WangA02M,kong,disklavier,0.0093
Beethoven,Piano_Sonatas_21-1,train,WangA02M,T5,disklavier,0.0133
Beethoven,Piano_Sonatas_21-1,train,YeZ02M,kong,maestro,0.5489
Beethoven,Piano_Sonatas_21-1,train,YeZ02M,oaf,maestro,0.6242
Beethoven,Piano_Sonatas_21-1,train,YeZ02M,T5,maestro,0.5191
Beethoven,Piano_Sonatas_21-1,train,YeZ02M,T5,disklavier,0.0117
Beethoven,Piano_Sonatas_21-1,train,YeZ02M,oaf,disklavier,0.0276
Beethoven,Piano_Sonatas_21-1,train,YeZ02M,kong,disklavier,0.0147
Beethoven,Piano_Sonatas_21-1,train,ZhangW01M,T5,maestro,0.5347
Beethoven,Piano_Sonatas_21-1,train,ZhangW01M,oaf,maestro,0.6464
Beethoven,Piano_Sonatas_21-1,train,ZhangW01M,kong,maestro,0.5887
Beethoven,Piano_Sonatas_21-1,train,ZhangW01M,kong,disklavier,0.0345
Beethoven,Piano_Sonatas_21-1,train,ZhangW01M,oaf,disklavier,0.05
Beethoven,Piano_Sonatas_21-1,train,ZhangW01M,T5,disklavier,0.0233
Chopin,Scherzos_31,train,ChenW04M,kong,maestro,0.5763
Chopin,Scherzos_31,train,ChenW04M,oaf,maestro,0.6202
Chopin,Scherzos_31,train,ChenW04M,T5,maestro,0.5627
Chopin,Scherzos_31,train,ChenW04M,oaf,disklavier,0.028
Chopin,Scherzos_31,train,ChenW04M,T5,disklavier,0.0179
Chopin,Scherzos_31,train,ChenW04M,kong,disklavier,0.0187
Chopin,Scherzos_31,train,HuNY08M,oaf,maestro,0.6022
Chopin,Scherzos_31,train,HuNY08M,kong,maestro,0.5618
Chopin,Scherzos_31,train,HuNY08M,T5,maestro,0.4869
Chopin,Scherzos_31,train,HuNY08M,T5,disklavier,0.0039
Chopin,Scherzos_31,train,HuNY08M,kong,disklavier,0.0058
Chopin,Scherzos_31,train,HuNY08M,oaf,disklavier,0.0065
Chopin,Scherzos_31,train,Jussow11M,kong,maestro,0.6252
Chopin,Scherzos_31,train,Jussow11M,oaf,maestro,0.6269
Chopin,Scherzos_31,train,Jussow11M,T5,maestro,0.6236
Chopin,Scherzos_31,train,Jussow11M,kong,disklavier,0.0193
Chopin,Scherzos_31,train,Jussow11M,T5,disklavier,0.0145
Chopin,Scherzos_31,train,Jussow11M,oaf,disklavier,0.0199
Chopin,Scherzos_31,train,LeeN04M,T5,maestro,0.6693
Chopin,Scherzos_31,train,LeeN04M,oaf,maestro,0.7268
Chopin,Scherzos_31,train,LeeN04M,kong,maestro,0.689
Chopin,Scherzos_31,train,LeeN04M,T5,disklavier,0.0229
Chopin,Scherzos_31,train,LeeN04M,kong,disklavier,0.024
Chopin,Scherzos_31,train,LeeN04M,oaf,disklavier,0.0363
Chopin,Scherzos_31,train,LinTami06M,T5,maestro,0.6423
Chopin,Scherzos_31,train,LinTami06M,oaf,maestro,0.7292
Chopin,Scherzos_31,train,LinTami06M,kong,maestro,0.6913
Chopin,Scherzos_31,train,LinTami06M,kong,disklavier,0.0461
Chopin,Scherzos_31,train,LinTami06M,oaf,disklavier,0.052
Chopin,Scherzos_31,train,LinTami06M,T5,disklavier,0.0335
Chopin,Scherzos_31,train,LuoJ12M,oaf,maestro,0.6177
Chopin,Scherzos_31,train,LuoJ12M,kong,maestro,0.588
Chopin,Scherzos_31,train,LuoJ12M,T5,maestro,0.5938
Chopin,Scherzos_31,train,LuoJ12M,oaf,disklavier,0.0283
Chopin,Scherzos_31,train,LuoJ12M,kong,disklavier,0.0206
Chopin,Scherzos_31,train,LuoJ12M,T5,disklavier,0.0204
Chopin,Scherzos_31,train,SunD04M,kong,maestro,0.6577
Chopin,Scherzos_31,train,SunD04M,oaf,maestro,0.692
Chopin,Scherzos_31,train,SunD04M,T5,maestro,0.6176
Chopin,Scherzos_31,train,SunD04M,T5,disklavier,0.026
Chopin,Scherzos_31,train,SunD04M,oaf,disklavier,0.0404
Chopin,Scherzos_31,train,SunD04M,kong,disklavier,0.0275
Chopin,Scherzos_31,train,TongB04M,oaf,maestro,0.7059
Chopin,Scherzos_31,train,TongB04M,kong,maestro,0.6354
Chopin,Scherzos_31,train,TongB04M,T5,maestro,0.5128
Chopin,Scherzos_31,train,TongB04M,T5,disklavier,0.0234
Chopin,Scherzos_31,train,TongB04M,kong,disklavier,0.0235
Chopin,Scherzos_31,train,TongB04M,oaf,disklavier,0.0356
Chopin,Scherzos_31,train,TuanS05M,T5,maestro,0.6065
Chopin,Scherzos_31,train,TuanS05M,oaf,maestro,0.7161
Chopin,Scherzos_31,train,TuanS05M,kong,maestro,0.6832
Chopin,Scherzos_31,train,TuanS05M,kong,disklavier,0.0349
Chopin,Scherzos_31,train,TuanS05M,T5,disklavier,0.0262
Chopin,Scherzos_31,train,TuanS05M,oaf,disklavier,0.0341
Chopin,Scherzos_31,train,ZhangW04M,oaf,maestro,0.6183
Chopin,Scherzos_31,train,ZhangW04M,kong,maestro,0.5953
Chopin,Scherzos_31,train,ZhangW04M,T5,maestro,0.6026
Chopin,Scherzos_31,train,ZhangW04M,T5,disklavier,0.0222
Chopin,Scherzos_31,train,ZhangW04M,oaf,disklavier,0.0331
Chopin,Scherzos_31,train,ZhangW04M,kong,disklavier,0.0233
Debussy,Images_Book_1_1_Reflets_dans_lEau,train,Kleisen11M,T5,maestro,0.5224
Debussy,Images_Book_1_1_Reflets_dans_lEau,train,Kleisen11M,oaf,maestro,0.5732
Debussy,Images_Book_1_1_Reflets_dans_lEau,train,Kleisen11M,kong,maestro,0.534
Debussy,Images_Book_1_1_Reflets_dans_lEau,train,Kleisen11M,kong,disklavier,0.0109
Debussy,Images_Book_1_1_Reflets_dans_lEau,train,Kleisen11M,oaf,disklavier,0.0126
Debussy,Images_Book_1_1_Reflets_dans_lEau,train,Kleisen11M,T5,disklavier,0.006
Debussy,Images_Book_1_1_Reflets_dans_lEau,train,ParkJH13M,T5,maestro,0.6395
Debussy,Images_Book_1_1_Reflets_dans_lEau,train,ParkJH13M,oaf,maestro,0.6842
Debussy,Images_Book_1_1_Reflets_dans_lEau,train,ParkJH13M,kong,maestro,0.6406
Debussy,Images_Book_1_1_Reflets_dans_lEau,train,ParkJH13M,oaf,disklavier,0.0199
Debussy,Images_Book_1_1_Reflets_dans_lEau,train,ParkJH13M,T5,disklavier,0.0282
Debussy,Images_Book_1_1_Reflets_dans_lEau,train,ParkJH13M,kong,disklavier,0.0294
Glinka,The_Lark,train,Denisova10M,kong,maestro,0.3685
Glinka,The_Lark,train,Denisova10M,oaf,maestro,0.4389
Glinka,The_Lark,train,Denisova10M,T5,maestro,0.3347
Glinka,The_Lark,train,Denisova10M,T5,disklavier,0.013
Glinka,The_Lark,train,Denisova10M,kong,disklavier,0.0139
Glinka,The_Lark,train,Denisova10M,oaf,disklavier,0.0183
