composer,title,split,model,recording,p_f,r_f,f_f,reverb,snr
Bach,Fugue_bwv_848,train,T5,disklavier,0.5348,0.7299,0.6173,norev,nonoise
Bach,Fugue_bwv_848,train,kong,disklavier,0.9077,0.9126,0.9101,norev,nonoise
Bach,Fugue_bwv_848,train,oaf,disklavier,0.7623,0.9087,0.8291,norev,nonoise
Bach,Fugue_bwv_848,train,T5,disklavier,0.6155,0.7359,0.6704,norev,24
Bach,Fugue_bwv_848,train,kong,disklavier,0.8418,0.895,0.8676,norev,24
Bach,Fugue_bwv_848,train,oaf,disklavier,0.7602,0.9008,0.8246,norev,24
Bach,Fugue_bwv_848,train,T5,disklavier,0.0642,0.0592,0.0616,norev,12
Bach,Fugue_bwv_848,train,kong,disklavier,0.8191,0.7653,0.7913,norev,12
Bach,Fugue_bwv_848,train,oaf,disklavier,0.7544,0.8811,0.8129,norev,12
Bach,Fugue_bwv_848,train,T5,disklavier,0.0331,0.0577,0.0421,norev,6
Bach,Fugue_bwv_848,train,kong,disklavier,0.1156,0.0869,0.0992,norev,6
Bach,Fugue_bwv_848,train,oaf,disklavier,0.7069,0.8545,0.7737,norev,6
Bach,Fugue_bwv_848,train,T5,disklavier,0.5533,0.6689,0.6056,s,nonoise
Bach,Fugue_bwv_848,train,kong,disklavier,0.8283,0.9109,0.8677,s,nonoise
Bach,Fugue_bwv_848,train,oaf,disklavier,0.7663,0.9188,0.8357,s,nonoise
Bach,Fugue_bwv_848,train,T5,disklavier,0.4259,0.6973,0.5288,s,24
Bach,Fugue_bwv_848,train,kong,disklavier,0.7161,0.8055,0.7582,s,24
Bach,Fugue_bwv_848,train,oaf,disklavier,0.7478,0.9066,0.8195,s,24
Bach,Fugue_bwv_848,train,T5,disklavier,0.0544,0.0766,0.0636,s,12
Bach,Fugue_bwv_848,train,kong,disklavier,0.1377,0.0957,0.1129,s,12
Bach,Fugue_bwv_848,train,oaf,disklavier,0.7088,0.8378,0.7679,s,12
Bach,Fugue_bwv_848,train,T5,disklavier,0.0223,0.0029,0.0052,s,6
Bach,Fugue_bwv_848,train,kong,disklavier,0.0773,0.0146,0.0246,s,6
Bach,Fugue_bwv_848,train,oaf,disklavier,0.6507,0.559,0.6014,s,6
Bach,Fugue_bwv_848,train,T5,disklavier,0.1757,0.6187,0.2737,m,nonoise
Bach,Fugue_bwv_848,train,kong,disklavier,0.4942,0.8545,0.6262,m,nonoise
Bach,Fugue_bwv_848,train,oaf,disklavier,0.6183,0.8653,0.7213,m,nonoise
Bach,Fugue_bwv_848,train,T5,disklavier,0.1373,0.5647,0.2209,m,24
Bach,Fugue_bwv_848,train,kong,disklavier,0.4238,0.7423,0.5396,m,24
Bach,Fugue_bwv_848,train,oaf,disklavier,0.5793,0.8248,0.6806,m,24
Bach,Fugue_bwv_848,train,T5,disklavier,0.0285,0.1558,0.0482,m,12
Bach,Fugue_bwv_848,train,kong,disklavier,0.17,0.074,0.1031,m,12
Bach,Fugue_bwv_848,train,oaf,disklavier,0.4338,0.7287,0.5438,m,12
Bach,Fugue_bwv_848,train,T5,disklavier,0.0273,0.406,0.0511,m,6
Bach,Fugue_bwv_848,train,kong,disklavier,0.0599,0.0048,0.0088,m,6
Bach,Fugue_bwv_848,train,oaf,disklavier,0.0581,0.1185,0.0779,m,6
Bach,Fugue_bwv_848,train,T5,disklavier,0.0548,0.9547,0.1036,l,nonoise
Bach,Fugue_bwv_848,train,kong,disklavier,0.0905,0.9632,0.1655,l,nonoise
Bach,Fugue_bwv_848,train,oaf,disklavier,0.1993,0.8352,0.3218,l,nonoise
Bach,Fugue_bwv_848,train,T5,disklavier,0.0505,0.6667,0.0938,l,24
Bach,Fugue_bwv_848,train,kong,disklavier,0.1684,0.7659,0.2761,l,24
Bach,Fugue_bwv_848,train,oaf,disklavier,0.1627,0.7952,0.2701,l,24
Bach,Fugue_bwv_848,train,kong,disklavier,0.1898,0.1059,0.1359,l,12
Bach,Fugue_bwv_848,train,oaf,disklavier,0.1172,0.7405,0.2023,l,12
Bach,Fugue_bwv_848,train,kong,disklavier,0.0824,0.0053,0.01,l,6
Bach,Fugue_bwv_848,train,oaf,disklavier,0.0524,0.387,0.0924,l,6
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.6529,0.9495,0.7737,norev,nonoise
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.8965,0.9564,0.9255,norev,nonoise
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.8062,0.913,0.8563,norev,nonoise
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.5308,0.8866,0.6641,norev,24
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.8639,0.9302,0.8958,norev,24
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.8075,0.9118,0.8565,norev,24
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.2787,0.5069,0.3596,norev,12
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.7406,0.8517,0.7923,norev,12
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.7957,0.8746,0.8333,norev,12
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.0463,0.3206,0.081,norev,6
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.654,0.6494,0.6517,norev,6
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.2874,0.2938,0.2906,norev,6
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.5934,0.9339,0.7257,s,nonoise
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.8116,0.9213,0.863,s,nonoise
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.8229,0.899,0.8593,s,nonoise
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.3659,0.8064,0.5034,s,24
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.7712,0.8611,0.8136,s,24
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.8151,0.889,0.8505,s,24
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.0974,0.316,0.1489,s,12
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.6519,0.6179,0.6344,s,12
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.7984,0.8227,0.8104,s,12
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.0502,0.2835,0.0853,s,6
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.5376,0.2494,0.3407,s,6
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.2802,0.2215,0.2474,s,6
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.2372,0.7597,0.3615,m,nonoise
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.3568,0.916,0.5135,m,nonoise
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.6005,0.8464,0.7025,m,nonoise
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.0921,0.4348,0.1521,m,24
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.3517,0.8086,0.4902,m,24
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.5858,0.8229,0.6844,m,24
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.0492,0.3812,0.0871,m,12
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.3201,0.4013,0.3561,m,12
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.181,0.312,0.2291,m,12
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.0463,0.5569,0.0855,m,6
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.3753,0.1359,0.1995,m,6
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.1826,0.0675,0.0985,m,6
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.092,0.9326,0.1675,l,nonoise
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.1243,0.9572,0.22,l,nonoise
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.2756,0.8397,0.415,l,nonoise
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.0809,0.5921,0.1424,l,24
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.1887,0.8468,0.3086,l,24
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.2994,0.8191,0.4385,l,24
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.0516,0.3937,0.0912,l,12
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.2293,0.3612,0.2805,l,12
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.1641,0.3955,0.232,l,12
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.0502,0.5366,0.0918,l,6
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.2665,0.115,0.1606,l,6
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.1431,0.216,0.1721,l,6
Chopin,Scherzos_31,train,T5,disklavier,0.5689,0.6645,0.613,norev,nonoise
Chopin,Scherzos_31,train,kong,disklavier,0.9146,0.8785,0.8962,norev,nonoise
Chopin,Scherzos_31,train,oaf,disklavier,0.9488,0.8411,0.8917,norev,nonoise
Chopin,Scherzos_31,train,T5,disklavier,0.4188,0.6607,0.5127,norev,24
Chopin,Scherzos_31,train,kong,disklavier,0.8891,0.8035,0.8442,norev,24
Chopin,Scherzos_31,train,oaf,disklavier,0.9502,0.8277,0.8847,norev,24
Chopin,Scherzos_31,train,T5,disklavier,0.0801,0.0887,0.0842,norev,12
Chopin,Scherzos_31,train,kong,disklavier,0.8605,0.5737,0.6884,norev,12
Chopin,Scherzos_31,train,oaf,disklavier,0.9434,0.7783,0.853,norev,12
Chopin,Scherzos_31,train,T5,disklavier,0.0679,0.2291,0.1048,norev,6
Chopin,Scherzos_31,train,kong,disklavier,0.248,0.1121,0.1544,norev,6
Chopin,Scherzos_31,train,oaf,disklavier,0.9156,0.6848,0.7836,norev,6
Chopin,Scherzos_31,train,T5,disklavier,0.4874,0.6676,0.5634,s,nonoise
Chopin,Scherzos_31,train,kong,disklavier,0.8527,0.8562,0.8544,s,nonoise
Chopin,Scherzos_31,train,oaf,disklavier,0.4803,0.4027,0.4381,s,nonoise
Chopin,Scherzos_31,train,T5,disklavier,0.3312,0.6151,0.4306,s,24
Chopin,Scherzos_31,train,kong,disklavier,0.8141,0.7159,0.7619,s,24
Chopin,Scherzos_31,train,oaf,disklavier,0.9143,0.7546,0.8268,s,24
Chopin,Scherzos_31,train,T5,disklavier,0.0768,0.0929,0.0841,s,12
Chopin,Scherzos_31,train,kong,disklavier,0.531,0.2297,0.3207,s,12
Chopin,Scherzos_31,train,oaf,disklavier,0.8905,0.6837,0.7735,s,12
Chopin,Scherzos_31,train,T5,disklavier,0.08,0.1021,0.0897,s,6
Chopin,Scherzos_31,train,kong,disklavier,0.2207,0.0438,0.0732,s,6
Chopin,Scherzos_31,train,oaf,disklavier,0.8436,0.525,0.6472,s,6
Chopin,Scherzos_31,train,T5,disklavier,0.2834,0.7038,0.4041,m,nonoise
Chopin,Scherzos_31,train,kong,disklavier,0.5824,0.8675,0.6969,m,nonoise
Chopin,Scherzos_31,train,oaf,disklavier,0.8239,0.7798,0.8012,m,nonoise
Chopin,Scherzos_31,train,T5,disklavier,0.074,0.1383,0.0964,m,24
Chopin,Scherzos_31,train,kong,disklavier,0.4395,0.4212,0.4301,m,24
Chopin,Scherzos_31,train,oaf,disklavier,0.8062,0.7445,0.7741,m,24
Chopin,Scherzos_31,train,T5,disklavier,0.077,0.4693,0.1323,m,12
Chopin,Scherzos_31,train,kong,disklavier,0.2102,0.0568,0.0895,m,12
Chopin,Scherzos_31,train,oaf,disklavier,0.2236,0.1959,0.2088,m,12
Chopin,Scherzos_31,train,T5,disklavier,0.064,0.4939,0.1133,m,6
Chopin,Scherzos_31,train,kong,disklavier,0.157,0.0149,0.0273,m,6
Chopin,Scherzos_31,train,oaf,disklavier,0.1506,0.0737,0.099,m,6
Chopin,Scherzos_31,train,T5,disklavier,0.101,0.8786,0.1812,l,nonoise
Chopin,Scherzos_31,train,kong,disklavier,0.198,0.8765,0.323,l,nonoise
Chopin,Scherzos_31,train,oaf,disklavier,0.4145,0.7262,0.5277,l,nonoise
Chopin,Scherzos_31,train,T5,disklavier,0.0891,0.4567,0.1491,l,24
Chopin,Scherzos_31,train,kong,disklavier,0.2907,0.5729,0.3857,l,24
Chopin,Scherzos_31,train,oaf,disklavier,0.4183,0.6994,0.5235,l,24
Chopin,Scherzos_31,train,T5,disklavier,0.0755,0.3012,0.1207,l,12
Chopin,Scherzos_31,train,kong,disklavier,0.2533,0.1574,0.1942,l,12
Chopin,Scherzos_31,train,oaf,disklavier,0.3407,0.566,0.4253,l,12
Chopin,Scherzos_31,train,T5,disklavier,0.0744,0.574,0.1317,l,6
Chopin,Scherzos_31,train,kong,disklavier,0.2329,0.0385,0.0661,l,6
Chopin,Scherzos_31,train,oaf,disklavier,0.1307,0.1995,0.1579,l,6
Liszt,Transcendental_Etudes_11,test,T5,maestro,0.3363,0.6542,0.4442,norev,nonoise
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.6211,0.6342,0.6276,norev,nonoise
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.6172,0.5573,0.5857,norev,nonoise
Liszt,Transcendental_Etudes_11,test,T5,maestro,0.2747,0.6183,0.3804,norev,24
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.5626,0.5364,0.5492,norev,24
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.608,0.5429,0.5736,norev,24
Liszt,Transcendental_Etudes_11,test,T5,maestro,0.1055,0.1004,0.1029,norev,12
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.4967,0.3284,0.3954,norev,12
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.5769,0.4664,0.5158,norev,12
Liszt,Transcendental_Etudes_11,test,T5,maestro,0.0731,0.0963,0.0831,norev,6
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.1358,0.059,0.0822,norev,6
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.555,0.3897,0.4579,norev,6
Liszt,Transcendental_Etudes_11,test,T5,maestro,0.296,0.6799,0.4124,s,nonoise
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.8381,0.9208,0.8775,s,nonoise
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.8845,0.7913,0.8353,s,nonoise
Liszt,Transcendental_Etudes_11,test,T5,maestro,0.2824,0.4643,0.3512,s,24
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.5176,0.4818,0.499,s,24
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.5916,0.5233,0.5554,s,24
Liszt,Transcendental_Etudes_11,test,T5,maestro,0.0976,0.0797,0.0878,s,12
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.4818,0.2299,0.3113,s,12
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.5499,0.4233,0.4784,s,12
Liszt,Transcendental_Etudes_11,test,T5,maestro,0.0523,0.0393,0.0449,s,6
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.1448,0.0312,0.0513,s,6
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.5303,0.3069,0.3888,s,6
Liszt,Transcendental_Etudes_11,test,T5,maestro,0.2852,0.8372,0.4254,m,nonoise
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.5108,0.9237,0.6578,m,nonoise
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.7569,0.7941,0.775,m,nonoise
Liszt,Transcendental_Etudes_11,test,T5,maestro,0.1141,0.1732,0.1376,m,24
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.4069,0.5898,0.4816,m,24
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.7471,0.7451,0.7461,m,24
Liszt,Transcendental_Etudes_11,test,T5,maestro,0.0856,0.1831,0.1167,m,12
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.1219,0.1679,0.1412,m,12
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.6703,0.4936,0.5686,m,12
Liszt,Transcendental_Etudes_11,test,T5,maestro,0.0938,0.4637,0.156,m,6
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.1309,0.1032,0.1154,m,6
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.2789,0.2021,0.2344,m,6
Liszt,Transcendental_Etudes_11,test,T5,maestro,0.1172,0.9518,0.2088,l,nonoise
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.2133,0.9253,0.3467,l,nonoise
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.5299,0.7488,0.6206,l,nonoise
Liszt,Transcendental_Etudes_11,test,T5,maestro,0.1071,0.3378,0.1627,l,24
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.2478,0.5269,0.3371,l,24
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.5455,0.7049,0.615,l,24
Liszt,Transcendental_Etudes_11,test,T5,maestro,0.0746,0.0943,0.0833,l,12
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.1124,0.1377,0.1238,l,12
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.5262,0.5048,0.5153,l,12
Liszt,Transcendental_Etudes_11,test,T5,maestro,0.0791,0.211,0.1151,l,6
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.1219,0.0802,0.0967,l,6
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.3231,0.2153,0.2584,l,6
Rachmaninoff,Preludes_op_23_4,train,T5,disklavier,0.2003,0.2604,0.2264,norev,nonoise
Rachmaninoff,Preludes_op_23_4,train,kong,disklavier,0.2514,0.2295,0.2399,norev,nonoise
Rachmaninoff,Preludes_op_23_4,train,oaf,disklavier,0.26,0.2195,0.238,norev,nonoise
Rachmaninoff,Preludes_op_23_4,train,T5,disklavier,0.1866,0.2547,0.2154,norev,24
Rachmaninoff,Preludes_op_23_4,train,kong,disklavier,0.2418,0.2192,0.23,norev,24
Rachmaninoff,Preludes_op_23_4,train,oaf,disklavier,0.2582,0.2152,0.2348,norev,24
Rachmaninoff,Preludes_op_23_4,train,T5,disklavier,0.1919,0.2143,0.2025,norev,12
Rachmaninoff,Preludes_op_23_4,train,kong,disklavier,0.2601,0.1832,0.215,norev,12
Rachmaninoff,Preludes_op_23_4,train,oaf,disklavier,0.2518,0.1925,0.2182,norev,12
Rachmaninoff,Preludes_op_23_4,train,T5,disklavier,0.2243,0.1647,0.19,norev,6
Rachmaninoff,Preludes_op_23_4,train,kong,disklavier,0.259,0.1035,0.1479,norev,6
Rachmaninoff,Preludes_op_23_4,train,oaf,disklavier,0.2576,0.1863,0.2163,norev,6
Rachmaninoff,Preludes_op_23_4,train,T5,disklavier,0.1922,0.2733,0.2257,s,nonoise
Rachmaninoff,Preludes_op_23_4,train,kong,disklavier,0.2472,0.235,0.241,s,nonoise
Rachmaninoff,Preludes_op_23_4,train,oaf,disklavier,0.2587,0.2105,0.2321,s,nonoise
Rachmaninoff,Preludes_op_23_4,train,T5,disklavier,0.1909,0.2763,0.2258,s,24
Rachmaninoff,Preludes_op_23_4,train,kong,disklavier,0.2481,0.2212,0.2339,s,24
Rachmaninoff,Preludes_op_23_4,train,oaf,disklavier,0.2583,0.2086,0.2308,s,24
Rachmaninoff,Preludes_op_23_4,train,T5,disklavier,0.2043,0.2691,0.2323,s,12
Rachmaninoff,Preludes_op_23_4,train,kong,disklavier,0.2684,0.1246,0.1701,s,12
Rachmaninoff,Preludes_op_23_4,train,oaf,disklavier,0.2556,0.1864,0.2156,s,12
Rachmaninoff,Preludes_op_23_4,train,T5,disklavier,0.1374,0.0489,0.0722,s,6
Rachmaninoff,Preludes_op_23_4,train,kong,disklavier,0.2453,0.0343,0.0602,s,6
Rachmaninoff,Preludes_op_23_4,train,oaf,disklavier,0.2576,0.1715,0.2059,s,6
Rachmaninoff,Preludes_op_23_4,train,T5,disklavier,0.1447,0.3788,0.2094,m,nonoise
Rachmaninoff,Preludes_op_23_4,train,kong,disklavier,0.2412,0.2899,0.2633,m,nonoise
Rachmaninoff,Preludes_op_23_4,train,oaf,disklavier,0.2654,0.2301,0.2465,m,nonoise
Rachmaninoff,Preludes_op_23_4,train,T5,disklavier,0.1642,0.3396,0.2214,m,24
Rachmaninoff,Preludes_op_23_4,train,kong,disklavier,0.2465,0.2489,0.2477,m,24
Rachmaninoff,Preludes_op_23_4,train,oaf,disklavier,0.2548,0.2141,0.2327,m,24
Rachmaninoff,Preludes_op_23_4,train,T5,disklavier,0.1561,0.0702,0.0969,m,12
Rachmaninoff,Preludes_op_23_4,train,kong,disklavier,0.2824,0.0742,0.1175,m,12
Rachmaninoff,Preludes_op_23_4,train,oaf,disklavier,0.2628,0.1992,0.2267,m,12
Rachmaninoff,Preludes_op_23_4,train,T5,disklavier,0.1501,0.0602,0.0859,m,6
Rachmaninoff,Preludes_op_23_4,train,kong,disklavier,0.2177,0.0203,0.0371,m,6
Rachmaninoff,Preludes_op_23_4,train,oaf,disklavier,0.2625,0.1318,0.1755,m,6
Rachmaninoff,Preludes_op_23_4,train,T5,disklavier,0.155,0.8251,0.261,l,nonoise
Rachmaninoff,Preludes_op_23_4,train,kong,disklavier,0.2091,0.7047,0.3226,l,nonoise
Rachmaninoff,Preludes_op_23_4,train,oaf,disklavier,0.2603,0.341,0.2952,l,nonoise
Rachmaninoff,Preludes_op_23_4,train,T5,disklavier,0.1783,0.6449,0.2793,l,24
Rachmaninoff,Preludes_op_23_4,train,kong,disklavier,0.241,0.4339,0.3099,l,24
Rachmaninoff,Preludes_op_23_4,train,oaf,disklavier,0.272,0.3417,0.3029,l,24
Rachmaninoff,Preludes_op_23_4,train,T5,disklavier,0.1234,0.0028,0.0056,l,12
Rachmaninoff,Preludes_op_23_4,train,kong,disklavier,0.2373,0.1149,0.1549,l,12
Rachmaninoff,Preludes_op_23_4,train,oaf,disklavier,0.2627,0.2747,0.2686,l,12
Rachmaninoff,Preludes_op_23_4,train,T5,disklavier,0.282,0.0066,0.0128,l,6
Rachmaninoff,Preludes_op_23_4,train,kong,disklavier,0.2469,0.0222,0.0407,l,6
Rachmaninoff,Preludes_op_23_4,train,oaf,disklavier,0.281,0.1825,0.2213,l,6
Schubert,Piano_Sonatas_664-1,test,T5,disklavier,0.4155,0.6309,0.501,norev,nonoise
Schubert,Piano_Sonatas_664-1,test,kong,disklavier,0.8985,0.758,0.8223,norev,nonoise
Schubert,Piano_Sonatas_664-1,test,oaf,disklavier,0.9228,0.6379,0.7543,norev,nonoise
Schubert,Piano_Sonatas_664-1,test,T5,disklavier,0.382,0.6423,0.4791,norev,24
Schubert,Piano_Sonatas_664-1,test,kong,disklavier,0.8536,0.7645,0.8066,norev,24
Schubert,Piano_Sonatas_664-1,test,oaf,disklavier,0.9394,0.628,0.7528,norev,24
Schubert,Piano_Sonatas_664-1,test,T5,disklavier,0.1891,0.2657,0.221,norev,12
Schubert,Piano_Sonatas_664-1,test,kong,disklavier,0.8396,0.5767,0.6837,norev,12
Schubert,Piano_Sonatas_664-1,test,oaf,disklavier,0.9335,0.5941,0.7261,norev,12
Schubert,Piano_Sonatas_664-1,test,T5,disklavier,0.1088,0.164,0.1308,norev,6
Schubert,Piano_Sonatas_664-1,test,kong,disklavier,0.2235,0.0724,0.1094,norev,6
Schubert,Piano_Sonatas_664-1,test,oaf,disklavier,0.9181,0.558,0.6941,norev,6
Schubert,Piano_Sonatas_664-1,test,T5,disklavier,0.4211,0.6304,0.5049,s,nonoise
Schubert,Piano_Sonatas_664-1,test,kong,disklavier,0.8448,0.7318,0.7842,s,nonoise
Schubert,Piano_Sonatas_664-1,test,oaf,disklavier,0.9139,0.6076,0.7299,s,nonoise
Schubert,Piano_Sonatas_664-1,test,T5,disklavier,0.2023,0.398,0.2682,s,24
Schubert,Piano_Sonatas_664-1,test,kong,disklavier,0.8031,0.706,0.7514,s,24
Schubert,Piano_Sonatas_664-1,test,oaf,disklavier,0.9095,0.5896,0.7154,s,24
Schubert,Piano_Sonatas_664-1,test,T5,disklavier,0.1412,0.1982,0.1649,s,12
Schubert,Piano_Sonatas_664-1,test,kong,disklavier,0.3245,0.152,0.207,s,12
Schubert,Piano_Sonatas_664-1,test,oaf,disklavier,0.89,0.5409,0.6729,s,12
Schubert,Piano_Sonatas_664-1,test,T5,disklavier,0.1427,0.1885,0.1625,s,6
Schubert,Piano_Sonatas_664-1,test,kong,disklavier,0.1681,0.0248,0.0432,s,6
Schubert,Piano_Sonatas_664-1,test,oaf,disklavier,0.4512,0.2558,0.3265,s,6
Schubert,Piano_Sonatas_664-1,test,T5,disklavier,0.2727,0.6788,0.3891,m,nonoise
Schubert,Piano_Sonatas_664-1,test,kong,disklavier,0.6008,0.8301,0.6971,m,nonoise
Schubert,Piano_Sonatas_664-1,test,oaf,disklavier,0.8046,0.7034,0.7506,m,nonoise
Schubert,Piano_Sonatas_664-1,test,T5,disklavier,0.1136,0.3374,0.17,m,24
Schubert,Piano_Sonatas_664-1,test,kong,disklavier,0.5871,0.6674,0.6247,m,24
Schubert,Piano_Sonatas_664-1,test,oaf,disklavier,0.7927,0.6932,0.7396,m,24
Schubert,Piano_Sonatas_664-1,test,T5,disklavier,0.038,0.0431,0.0404,m,12
Schubert,Piano_Sonatas_664-1,test,kong,disklavier,0.1382,0.0269,0.045,m,12
Schubert,Piano_Sonatas_664-1,test,oaf,disklavier,0.8003,0.6375,0.7097,m,12
Schubert,Piano_Sonatas_664-1,test,kong,disklavier,0.0102,0.0002,0.0005,m,6
Schubert,Piano_Sonatas_664-1,test,oaf,disklavier,0.3782,0.205,0.2659,m,6
Schubert,Piano_Sonatas_664-1,test,T5,disklavier,0.0855,0.9578,0.157,l,nonoise
Schubert,Piano_Sonatas_664-1,test,kong,disklavier,0.1435,0.946,0.2491,l,nonoise
Schubert,Piano_Sonatas_664-1,test,oaf,disklavier,0.4363,0.7537,0.5526,l,nonoise
Schubert,Piano_Sonatas_664-1,test,T5,disklavier,0.1079,0.5876,0.1823,l,24
Schubert,Piano_Sonatas_664-1,test,kong,disklavier,0.2339,0.7359,0.355,l,24
Schubert,Piano_Sonatas_664-1,test,oaf,disklavier,0.4626,0.7296,0.5662,l,24
Schubert,Piano_Sonatas_664-1,test,T5,disklavier,0.0625,0.0444,0.0519,l,12
Schubert,Piano_Sonatas_664-1,test,kong,disklavier,0.0812,0.0308,0.0446,l,12
Schubert,Piano_Sonatas_664-1,test,oaf,disklavier,0.4403,0.6106,0.5117,l,12
Schubert,Piano_Sonatas_664-1,test,kong,disklavier,0.0787,0.0036,0.0069,l,6
Schubert,Piano_Sonatas_664-1,test,oaf,disklavier,0.4088,0.4142,0.4115,l,6
